UF de notificação;Ano;Ign/Branco;PAUCIBACILAR;MULTIBACILAR
53 Distrito Federal;2011;0;92;214
11 Rondônia;2012;0;323;627
12 Acre;2012;0;50;155
13 Amazonas;2012;0;303;520
14 Roraima;2012;0;57;126
15 Pará;2012;2;1456;3247
16 Amapá;2012;0;75;129
17 Tocantins;2012;0;501;721
21 Maranhão;2012;1;1414;3349
22 Piauí;2012;0;561;814
23 Ceará;2012;7;879;1540
24 Rio Grande do Norte;2012;0;167;200
25 Paraíba;2012;5;377;455
26 Pernambuco;2012;0;1378;1756
27 Alagoas;2012;1;233;296
28 Sergipe;2012;0;261;301
29 Bahia;2012;3;1128;1934
31 Minas Gerais;2012;4;467;1234
32 Espírito Santo;2012;0;416;459
33 Rio de Janeiro;2012;0;711;1127
35 São Paulo;2012;0;642;1491
41 Paraná;2012;0;274;913
42 Santa Catarina;2012;0;55;208
43 Rio Grande do Sul;2012;0;43;155
50 Mato Grosso do Sul;2012;0;228;851
51 Mato Grosso;2012;2;819;2435
52 Goiás;2012;17;641;2010
53 Distrito Federal;2012;0;79;265
11 Rondônia;2013;0;270;610
12 Acre;2013;0;31;127
13 Amazonas;2013;0;309;530
14 Roraima;2013;0;48;115
15 Pará;2013;0;1219;2865
16 Amapá;2013;0;72;106
17 Tocantins;2013;0;478;635
21 Maranhão;2013;0;1261;3512
22 Piauí;2013;0;508;792
23 Ceará;2013;4;831;1584
24 Rio Grande do Norte;2013;0;150;173
25 Paraíba;2013;2;325;443
26 Pernambuco;2013;2;1407;1765
27 Alagoas;2013;0;182;238
28 Sergipe;2013;0;203;253
29 Bahia;2013;12;936;1789
31 Minas Gerais;2013;0;378;1088
32 Espírito Santo;2013;0;398;425
33 Rio de Janeiro;2013;0;570;980
35 São Paulo;2013;0;541;1426
41 Paraná;2013;0;216;866
42 Santa Catarina;2013;0;47;148
43 Rio Grande do Sul;2013;0;42;146
50 Mato Grosso do Sul;2013;0;193;798
51 Mato Grosso;2013;73;784;2692
52 Goiás;2013;6;547;1796
53 Distrito Federal;2013;0;65;250
11 Rondônia;2014;0;231;586
12 Acre;2014;0;31;124
13 Amazonas;2014;1;302;417
14 Roraima;2014;0;31;66
15 Pará;2014;0;1251;2837
16 Amapá;2014;0;64;128
17 Tocantins;2014;0;506;743
21 Maranhão;2014;4;1117;3362
22 Piauí;2014;1;489;875
23 Ceará;2014;0;847;1523
24 Rio Grande do Norte;2014;0;127;193
25 Paraíba;2014;2;283;433
26 Pernambuco;2014;2;1239;1898
27 Alagoas;2014;0;180;225
28 Sergipe;2014;0;233;251
29 Bahia;2014;2;1078;2104
31 Minas Gerais;2014;0;381;1056
32 Espírito Santo;2014;0;311;409
33 Rio de Janeiro;2014;0;539;893
35 São Paulo;2014;0;490;1413
41 Paraná;2014;0;172;755
42 Santa Catarina;2014;0;44;152
43 Rio Grande do Sul;2014;0;37;151
50 Mato Grosso do Sul;2014;0;207;1078
51 Mato Grosso;2014;79;732;3001
52 Goiás;2014;6;508;1772
53 Distrito Federal;2014;1;72;401
11 Rondônia;2015;0;202;493
12 Acre;2015;0;29;114
13 Amazonas;2015;0;231;416
14 Roraima;2015;0;16;99
15 Pará;2015;2;1078;2752
16 Amapá;2015;0;38;117
17 Tocantins;2015;1;328;740
21 Maranhão;2015;0;941;3494
22 Piauí;2015;0;445;876
23 Ceará;2015;6;687;1464
24 Rio Grande do Norte;2015;0;110;197
25 Paraíba;2015;3;257;385
26 Pernambuco;2015;1;1156;1699
27 Alagoas;2015;0;167;262
28 Sergipe;2015;0;212;238
29 Bahia;2015;0;948;2122
31 Minas Gerais;2015;0;321;1050
32 Espírito Santo;2015;0;344;365
33 Rio de Janeiro;2015;1;488;894
35 São Paulo;2015;0;410;1273
41 Paraná;2015;0;156;784
42 Santa Catarina;2015;1;45;160
43 Rio Grande do Sul;2015;1;21;136
50 Mato Grosso do Sul;2015;0;125;815
51 Mato Grosso;2015;53;639;3155
52 Goiás;2015;1;416;1715
53 Distrito Federal;2015;2;49;309
11 Rondônia;2016;0;142;437
12 Acre;2016;0;25;111
13 Amazonas;2016;1;197;374
14 Roraima;2016;0;27;80
15 Pará;2016;0;762;2431
16 Amapá;2016;0;46;79
17 Tocantins;2016;0;276;1448
21 Maranhão;2016;1;807;3388
22 Piauí;2016;2;366;778
23 Ceará;2016;0;601;1433
24 Rio Grande do Norte;2016;0;77;145
25 Paraíba;2016;9;186;335
26 Pernambuco;2016;2;900;1518
27 Alagoas;2016;0;113;209
28 Sergipe;2016;0;147;207
29 Bahia;2016;5;738;1813
31 Minas Gerais;2016;1;299;1079
32 Espírito Santo;2016;0;215;296
33 Rio de Janeiro;2016;3;350;788
35 São Paulo;2016;1;368;1401
41 Paraná;2016;1;117;650
42 Santa Catarina;2016;0;33;158
43 Rio Grande do Sul;2016;1;14;138
50 Mato Grosso do Sul;2016;0;85;475
51 Mato Grosso;2016;38;406;3096
52 Goiás;2016;0;363;1445
53 Distrito Federal;2016;0;45;248
11 Rondônia;2017;0;136;493
12 Acre;2017;0;37;129
13 Amazonas;2017;0;219;346
14 Roraima;2017;0;35;163
15 Pará;2017;0;735;2635
16 Amapá;2017;0;49;101
17 Tocantins;2017;0;236;1446
21 Maranhão;2017;1;842;3518
22 Piauí;2017;0;376;994
23 Ceará;2017;1;551;1302
24 Rio Grande do Norte;2017;0;94;203
25 Paraíba;2017;1;226;376
26 Pernambuco;2017;1;973;2209
27 Alagoas;2017;0;159;243
28 Sergipe;2017;0;169;295
29 Bahia;2017;7;853;1985
31 Minas Gerais;2017;0;278;1135
32 Espírito Santo;2017;0;196;364
33 Rio de Janeiro;2017;1;339;854
35 São Paulo;2017;0;310;1304
41 Paraná;2017;1;118;632
42 Santa Catarina;2017;0;34;129
43 Rio Grande do Sul;2017;0;19;151
50 Mato Grosso do Sul;2017;0;90;481
51 Mato Grosso;2017;32;419;3872
52 Goiás;2017;1;296;1478
53 Distrito Federal;2017;2;32;219
11 Rondônia;2018;0;140;721
12 Acre;2018;0;23;130
13 Amazonas;2018;0;160;370
14 Roraima;2018;0;28;108
15 Pará;2018;1;693;2755
16 Amapá;2018;0;44;114
17 Tocantins;2018;0;215;1930
21 Maranhão;2018;1;796;3351
22 Piauí;2018;2;320;1013
23 Ceará;2018;1;573;1513
24 Rio Grande do Norte;2018;0;114;192
25 Paraíba;2018;1;214;443
26 Pernambuco;2018;0;814;2271
27 Alagoas;2018;0;147;309
28 Sergipe;2018;1;161;276
29 Bahia;2018;4;728;1993
31 Minas Gerais;2018;1;289;1092
32 Espírito Santo;2018;1;186;363
33 Rio de Janeiro;2018;2;354;843
35 São Paulo;2018;1;296;1367
41 Paraná;2018;0;100;635
42 Santa Catarina;2018;0;36;139
43 Rio Grande do Sul;2018;0;14;172
50 Mato Grosso do Sul;2018;0;69;446
51 Mato Grosso;2018;1;311;5501
52 Goiás;2018;2;283;1509
53 Distrito Federal;2018;0;20;247
11 Rondônia;2019;1;106;526
12 Acre;2019;1;19;113
13 Amazonas;2019;0;161;360
14 Roraima;2019;0;26;95
15 Pará;2019;0;660;2898
16 Amapá;2019;0;61;104
17 Tocantins;2019;0;176;1851
21 Maranhão;2019;1;717;3637
22 Piauí;2019;1;245;938
23 Ceará;2019;0;570;1381
24 Rio Grande do Norte;2019;0;76;160
25 Paraíba;2019;3;223;552
26 Pernambuco;2019;0;805;2542
27 Alagoas;2019;0;129;245
28 Sergipe;2019;0;144;245
29 Bahia;2019;17;634;1931
31 Minas Gerais;2019;0;340;1168
32 Espírito Santo;2019;1;197;462
33 Rio de Janeiro;2019;1;350;800
35 São Paulo;2019;0;269;1351
41 Paraná;2019;1;127;635
42 Santa Catarina;2019;0;50;177
43 Rio Grande do Sul;2019;1;29;118
50 Mato Grosso do Sul;2019;0;135;516
51 Mato Grosso;2019;2;291;5396
52 Goiás;2019;1;267;1538
53 Distrito Federal;2019;0;45;242
11 Rondônia;2020;0;57;391
12 Acre;2020;0;10;76
13 Amazonas;2020;0;69;219
14 Roraima;2020;0;8;42
15 Pará;2020;2;336;1765
16 Amapá;2020;0;36;63
17 Tocantins;2020;2;111;1000
21 Maranhão;2020;3;375;2182
22 Piauí;2020;0;125;461
23 Ceará;2020;1;333;922
24 Rio Grande do Norte;2020;0;54;141
25 Paraíba;2020;0;111;261
26 Pernambuco;2020;1;445;1560
27 Alagoas;2020;0;69;185
28 Sergipe;2020;0;119;189
29 Bahia;2020;8;320;998
31 Minas Gerais;2020;1;213;741
32 Espírito Santo;2020;0;20;94
33 Rio de Janeiro;2020;0;163;519
35 São Paulo;2020;0;142;802
41 Paraná;2020;3;72;419
42 Santa Catarina;2020;0;20;136
43 Rio Grande do Sul;2020;0;9;72
50 Mato Grosso do Sul;2020;0;47;304
51 Mato Grosso;2020;0;107;3082
52 Goiás;2020;0;184;870
53 Distrito Federal;2020;1;20;263
