UF de notificação;Ano;Ign/Branco;Analfabeto;1ª a 4ª série incompleta do EF;4ª série completa do EF;5ª a 8ª série incompleta do EF;Ensino fundamental completo;Ensino médio incompleto;Ensino médio completo;Educação superior completa;Não se aplica
33 Rio de Janeiro;2003;476;378;802;-;1606;-;761;-;229;82
35 São Paulo;2003;638;1101;1806;8;2235;-;1157;-;372;45
41 Paraná;2003;241;639;1200;10;840;1;418;8;88;23
42 Santa Catarina;2003;2;24;103;-;176;-;49;-;24;1
43 Rio Grande do Sul;2003;27;24;103;-;135;-;131;-;24;-
50 Mato Grosso do Sul;2003;84;126;324;4;291;-;117;1;28;3
51 Mato Grosso;2003;229;877;1824;3;2159;1;896;2;241;107
52 Goiás;2003;561;823;1661;-;1674;8;769;-;243;82
53 Distrito Federal;2003;81;154;175;-;332;-;206;-;47;6
11 Rondônia;2004;82;253;941;-;982;-;448;-;-;51;88
12 Acre;2004;82;89;77;2;92;2;26;-;-;8;-
13 Amazonas;2004;252;251;593;-;554;-;315;-;-;60;28
14 Roraima;2004;8;95;170;-;245;-;214;-;-;56;18
15 Pará;2004;581;1337;2897;-;2595;-;1126;-;-;209;172
16 Amapá;2004;7;-;9;-;8;-;6;-;-;6;-
17 Tocantins;2004;22;448;771;4;1138;11;562;12;-;120;53
21 Maranhão;2004;446;1902;2520;6;2409;-;1385;-;-;255;195
22 Piauí;2004;178;561;803;-;725;-;491;-;-;83;24
23 Ceará;2004;909;928;1141;2;923;-;448;-;-;160;57
24 Rio Grande do Norte;2004;23;84;121;-;140;-;85;-;-;11;29
25 Paraíba;2004;160;270;277;-;293;-;105;-;-;33;34
26 Pernambuco;2004;919;799;1304;-;1421;-;720;-;-;206;109
27 Alagoas;2004;98;226;175;3;192;-;114;-;2;44;9
28 Sergipe;2004;187;201;313;-;411;-;160;-;-;29;35
29 Bahia;2004;617;889;1347;-;1423;-;695;-;-;223;156
31 Minas Gerais;2004;628;714;825;-;2251;2;790;-;-;209;42
32 Espírito Santo;2004;389;608;1146;3;1615;2;948;-;-;154;60
33 Rio de Janeiro;2004;609;389;845;-;1620;-;872;6;8;284;89
35 São Paulo;2004;564;964;1824;33;2252;3;1070;-;-;363;42
41 Paraná;2004;250;745;1270;10;1160;-;549;-;4;180;49
42 Santa Catarina;2004;21;28;174;-;223;-;71;-;-;28;4
43 Rio Grande do Sul;2004;30;56;159;-;281;-;65;-;-;55;8
50 Mato Grosso do Sul;2004;139;174;272;6;227;-;115;1;-;37;12
51 Mato Grosso;2004;174;831;1512;2;1890;3;812;-;-;179;101
52 Goiás;2004;425;727;1650;9;1876;5;814;-;-;286;96
53 Distrito Federal;2004;109;143;178;-;250;-;144;-;-;26;3
11 Rondônia;2005;99;412;768;-;962;4;437;-;95;79
12 Acre;2005;48;76;79;2;66;-;14;-;-;1
13 Amazonas;2005;267;329;692;-;498;-;233;-;72;19
14 Roraima;2005;29;55;144;-;215;-;170;-;19;10
15 Pará;2005;651;1329;3228;-;3126;7;1525;-;296;189
16 Amapá;2005;10;1;20;-;23;-;20;-;-;-
17 Tocantins;2005;64;475;935;19;1262;21;576;2;132;29
21 Maranhão;2005;492;2574;3001;14;3135;-;1923;5;457;257
22 Piauí;2005;198;991;1002;-;910;-;464;-;218;110
23 Ceará;2005;637;1089;1228;4;1097;-;642;-;283;86
24 Rio Grande do Norte;2005;52;114;135;-;195;-;98;-;66;18
25 Paraíba;2005;226;289;389;-;505;-;197;-;70;25
26 Pernambuco;2005;1265;1055;1827;7;1883;-;999;5;337;187
27 Alagoas;2005;170;216;194;-;306;-;128;-;32;19
28 Sergipe;2005;219;386;403;-;602;-;306;-;72;42
29 Bahia;2005;802;793;1227;1;1202;-;708;-;249;66
31 Minas Gerais;2005;776;871;1169;12;1908;-;927;-;232;40
32 Espírito Santo;2005;372;623;1261;2;1571;14;1032;3;250;96
33 Rio de Janeiro;2005;619;470;1060;3;1665;4;844;2;308;96
35 São Paulo;2005;519;937;1690;15;2349;21;1209;3;355;31
41 Paraná;2005;285;722;1385;6;1139;4;537;5;122;4
42 Santa Catarina;2005;6;55;125;1;282;-;57;-;9;6
43 Rio Grande do Sul;2005;67;88;201;-;263;-;120;-;58;15
50 Mato Grosso do Sul;2005;196;155;325;-;334;-;162;-;48;16
51 Mato Grosso;2005;281;1144;1888;6;2058;1;952;-;213;114
52 Goiás;2005;695;696;1646;9;2111;-;1055;-;296;104
53 Distrito Federal;2005;151;107;207;-;232;-;131;-;62;4
11 Rondônia;2006;107;330;858;9;1213;9;582;-;-;133;15
12 Acre;2006;58;169;114;18;173;10;55;-;-;27;22
13 Amazonas;2006;173;310;600;10;488;-;208;1;-;61;31
14 Roraima;2006;54;90;150;1;270;-;139;-;-;18;16
15 Pará;2006;897;1404;3211;22;3334;19;1396;-;-;411;147
16 Amapá;2006;30;15;31;-;35;2;13;-;-;10;-
17 Tocantins;2006;70;566;1070;36;1547;42;890;3;-;245;40
21 Maranhão;2006;581;2319;3138;75;2853;56;1820;5;-;387;165
22 Piauí;2006;184;948;1001;13;954;5;600;-;-;211;112
23 Ceará;2006;879;1078;1286;14;1217;5;630;-;-;265;52
24 Rio Grande do Norte;2006;12;78;88;-;122;-;52;-;-;39;6
25 Paraíba;2006;260;382;495;24;308;3;211;1;-;110;45
26 Pernambuco;2006;1206;1259;2082;42;2626;11;1509;1;-;629;219
27 Alagoas;2006;78;225;216;7;243;8;138;-;-;38;15
28 Sergipe;2006;204;318;355;-;492;13;277;-;-;86;22
29 Bahia;2006;624;887;1192;35;1242;8;778;5;-;272;97
31 Minas Gerais;2006;713;968;1253;-;1926;7;628;-;-;263;36
32 Espírito Santo;2006;286;662;921;3;1306;-;780;3;-;159;73
33 Rio de Janeiro;2006;733;332;988;55;1625;51;804;-;-;308;132
35 São Paulo;2006;420;744;1438;45;1878;39;992;7;-;283;58
41 Paraná;2006;226;1033;1427;21;1111;11;485;-;-;208;20
42 Santa Catarina;2006;18;14;214;-;233;3;60;-;-;20;-
43 Rio Grande do Sul;2006;45;191;115;4;184;-;71;-;-;45;-
50 Mato Grosso do Sul;2006;220;207;348;3;480;-;149;-;-;67;8
51 Mato Grosso;2006;266;1015;2180;17;2386;8;1079;7;-;278;75
52 Goiás;2006;458;751;1703;28;2090;14;1191;5;3;400;57
53 Distrito Federal;2006;81;92;184;2;203;-;138;-;-;39;1
11 Rondônia;2007;224;196;898;396;651;130;151;167;27;48;7
12 Acre;2007;201;89;187;167;169;105;21;24;-;-;27
13 Amazonas;2007;173;109;363;313;269;118;53;83;-;12;25
14 Roraima;2007;46;60;132;42;204;103;47;57;3;-;4
15 Pará;2007;1181;786;3033;1688;2493;947;466;418;55;51;112
16 Amapá;2007;52;6;39;11;20;3;4;7;-;4;8
17 Tocantins;2007;179;220;1044;570;981;422;336;288;72;48;25
21 Maranhão;2007;773;1470;3089;1267;2019;724;552;794;53;75;77
22 Piauí;2007;275;449;1013;420;647;244;245;248;13;32;29
23 Ceará;2007;1958;575;1657;918;1064;397;210;254;11;57;45
24 Rio Grande do Norte;2007;119;36;131;65;65;26;23;37;-;1;4
25 Paraíba;2007;407;148;386;236;195;66;58;71;3;29;9
26 Pernambuco;2007;1747;663;1802;1246;1582;843;505;475;58;113;225
27 Alagoas;2007;177;128;236;102;197;76;61;83;-;10;3
28 Sergipe;2007;301;144;438;363;318;150;84;53;3;27;27
29 Bahia;2007;1107;517;1552;816;1017;448;311;326;34;84;29
31 Minas Gerais;2007;1333;597;1502;625;960;268;245;303;39;71;13
32 Espírito Santo;2007;305;332;973;475;826;336;290;299;33;46;48
33 Rio de Janeiro;2007;1049;164;760;520;1083;520;308;364;59;96;71
35 São Paulo;2007;675;363;1235;1037;1429;830;312;407;40;87;76
41 Paraná;2007;303;489;1181;887;669;276;134;106;33;57;9
42 Santa Catarina;2007;93;21;136;149;134;79;41;23;7;7;3
43 Rio Grande do Sul;2007;79;47;78;61;90;24;26;24;7;18;-
50 Mato Grosso do Sul;2007;192;84;377;347;491;194;67;54;18;15;-
51 Mato Grosso;2007;347;683;2012;1351;1846;726;422;377;67;72;64
52 Goiás;2007;632;522;1732;937;1354;645;444;474;80;102;54
53 Distrito Federal;2007;258;74;144;133;139;70;61;38;-;19;-
11 Rondônia;2008;192;197;762;445;606;145;159;210;24;34;14
12 Acre;2008;73;211;448;100;197;130;34;27;-;1;22
13 Amazonas;2008;120;186;423;197;299;109;54;143;12;12;15
14 Roraima;2008;66;25;156;36;150;46;23;63;9;12;-
15 Pará;2008;1270;1226;3837;1725;2516;832;790;841;101;67;101
16 Amapá;2008;31;53;121;21;52;49;24;38;6;6;9
17 Tocantins;2008;238;348;1094;434;916;364;367;608;84;141;59
21 Maranhão;2008;667;1903;3119;1188;1866;744;582;947;66;77;146
22 Piauí;2008;301;854;1575;529;719;272;307;342;44;56;63
23 Ceará;2008;2259;815;1542;622;825;359;282;459;55;62;71
24 Rio Grande do Norte;2008;107;33;136;33;83;14;29;28;14;-;1
25 Paraíba;2008;382;132;410;124;207;112;101;91;16;33;24
26 Pernambuco;2008;1903;647;1926;981;1182;499;543;650;50;89;153
27 Alagoas;2008;200;159;269;119;214;54;42;88;-;7;11
28 Sergipe;2008;238;141;486;174;281;173;81;89;9;29;14
29 Bahia;2008;1121;579;1748;683;775;365;359;434;36;34;91
31 Minas Gerais;2008;1290;731;1461;741;715;293;215;349;34;65;42
32 Espírito Santo;2008;288;511;1084;439;679;255;239;297;40;42;32
33 Rio de Janeiro;2008;1236;219;793;529;981;477;287;301;47;51;77
35 São Paulo;2008;833;399;1701;941;1375;695;423;467;43;119;31
41 Paraná;2008;329;407;1296;736;537;226;155;287;21;55;7
42 Santa Catarina;2008;93;57;111;133;124;74;19;35;8;6;9
43 Rio Grande do Sul;2008;92;22;117;66;106;57;31;8;11;4;-
50 Mato Grosso do Sul;2008;314;111;502;319;329;114;127;99;5;32;24
51 Mato Grosso;2008;461;588;2028;855;1507;625;467;566;115;127;91
52 Goiás;2008;938;431;1652;967;1295;531;459;495;94;111;50
53 Distrito Federal;2008;234;34;132;82;183;71;32;95;13;21;5
11 Rondônia;2009;285;223;824;247;698;139;123;253;32;40;30
12 Acre;2009;27;128;204;80;157;69;21;26;37;-;-
13 Amazonas;2009;152;249;563;180;338;93;110;126;28;31;21
14 Roraima;2009;65;55;111;74;50;39;31;51;9;4;11
15 Pará;2009;1463;1143;3828;1350;2277;665;706;693;53;78;90
16 Amapá;2009;28;57;136;23;86;35;35;82;10;20;5
17 Tocantins;2009;251;332;1111;440;760;255;266;360;87;101;46
21 Maranhão;2009;682;1770;2840;1023;1735;578;554;1004;88;96;136
22 Piauí;2009;327;756;1152;433;556;202;229;381;66;51;32
23 Ceará;2009;2041;903;1496;581;770;276;234;465;11;39;44
24 Rio Grande do Norte;2009;136;71;183;43;116;63;42;51;2;25;-
25 Paraíba;2009;342;248;313;127;242;130;57;84;6;37;9
26 Pernambuco;2009;2110;844;2316;901;1511;506;612;757;72;90;153
27 Alagoas;2009;226;149;278;97;213;37;75;38;16;13;17
28 Sergipe;2009;290;233;522;175;284;147;102;117;22;75;-
29 Bahia;2009;1262;708;1621;654;1182;309;394;627;39;69;88
31 Minas Gerais;2009;1829;820;2044;613;1001;332;229;467;51;93;24
32 Espírito Santo;2009;279;394;972;458;651;214;249;407;50;62;43
33 Rio de Janeiro;2009;1286;282;910;497;1014;453;281;421;61;97;128
35 São Paulo;2009;1054;578;1636;874;1231;530;338;621;59;110;44
41 Paraná;2009;353;286;1297;606;463;175;137;254;21;32;8
42 Santa Catarina;2009;97;18;158;121;90;28;56;40;-;2;-
43 Rio Grande do Sul;2009;107;20;123;41;104;27;19;30;2;14;-
50 Mato Grosso do Sul;2009;390;156;591;250;256;135;128;115;17;24;33
51 Mato Grosso;2009;416;785;1981;910;1555;514;519;615;91;144;84
52 Goiás;2009;1111;603;1794;744;1297;504;537;715;97;137;43
53 Distrito Federal;2009;251;54;120;71;207;42;52;63;17;6;-
11 Rondônia;2010;189;141;755;353;606;121;96;175;35;54;15
12 Acre;2010;4;230;152;69;75;78;21;27;13;12;14
13 Amazonas;2010;138;179;540;129;341;77;146;148;5;21;26
14 Roraima;2010;28;21;143;25;71;25;18;54;10;6;1
15 Pará;2010;1248;1112;3337;1254;2214;605;766;803;67;81;171
16 Amapá;2010;64;43;129;27;75;19;16;100;2;10;5
17 Tocantins;2010;365;343;904;334;664;234;252;468;84;96;47
21 Maranhão;2010;1099;1784;3157;971;1735;630;649;1007;100;128;129
22 Piauí;2010;465;725;1292;351;624;247;294;450;59;34;39
23 Ceará;2010;2134;853;1290;422;725;230;240;389;26;69;32
24 Rio Grande do Norte;2010;101;77;130;61;69;15;48;91;4;29;4
25 Paraíba;2010;344;121;304;137;225;62;56;106;16;41;30
26 Pernambuco;2010;2129;753;1872;904;1301;397;574;683;67;139;159
27 Alagoas;2010;283;202;215;66;152;33;36;62;21;13;8
28 Sergipe;2010;244;163;482;131;216;97;179;153;6;32;6
29 Bahia;2010;1361;812;1805;505;1272;287;289;725;90;61;48
31 Minas Gerais;2010;956;567;1316;415;587;227;168;325;47;63;43
32 Espírito Santo;2010;271;325;955;372;594;230;326;414;41;70;60
33 Rio de Janeiro;2010;1380;348;1040;607;846;511;241;481;49;77;116
35 São Paulo;2010;831;510;1323;641;1185;453;390;681;66;97;26
41 Paraná;2010;279;355;962;592;475;208;170;233;37;56;4
42 Santa Catarina;2010;92;31;179;110;117;41;23;47;-;-;-
43 Rio Grande do Sul;2010;56;20;121;35;81;25;16;11;5;6;5
50 Mato Grosso do Sul;2010;765;820;771;287;268;115;83;209;18;26;34
51 Mato Grosso;2010;547;604;2085;713;1393;530;498;675;92;164;78
52 Goiás;2010;996;411;1492;772;1123;520;491;511;94;162;63
53 Distrito Federal;2010;217;51;172;44;115;48;74;58;12;10;9
11 Rondônia;2011;206;209;742;311;477;94;139;228;43;31;9
12 Acre;2011;12;115;137;108;84;39;34;57;15;25;3
13 Amazonas;2011;204;155;508;89;389;97;96;230;22;21;10
14 Roraima;2011;55;18;72;16;22;12;29;39;1;-;2
15 Pará;2011;1292;1226;3710;1188;2372;690;861;963;105;138;111
16 Amapá;2011;61;65;171;65;114;17;54;101;15;16;-
17 Tocantins;2011;581;352;790;291;624;199;236;431;59;120;31
21 Maranhão;2011;1054;1900;2954;1049;1631;563;623;1085;75;115;116
22 Piauí;2011;317;627;922;290;528;172;210;435;34;64;28
23 Ceará;2011;2237;785;1200;453;597;201;185;341;18;52;31
24 Rio Grande do Norte;2011;113;68;188;34;34;29;42;72;2;7;3
25 Paraíba;2011;336;206;444;129;205;88;96;142;35;61;27
26 Pernambuco;2011;2140;851;1843;629;1194;452;479;586;42;141;195
27 Alagoas;2011;263;159;208;54;144;44;90;94;24;14;8
28 Sergipe;2011;208;182;471;106;321;102;89;200;23;21;10
29 Bahia;2011;1528;845;1744;528;892;322;418;680;31;52;57
31 Minas Gerais;2011;1202;603;1109;503;590;208;184;338;25;86;21
32 Espírito Santo;2011;156;375;899;377;706;185;226;390;51;112;52
33 Rio de Janeiro;2011;1558;224;777;529;788;277;231;491;36;101;39
35 São Paulo;2011;976;409;1199;639;928;525;296;677;58;131;42
41 Paraná;2011;281;380;1003;471;519;206;100;228;21;31;4
42 Santa Catarina;2011;116;29;173;98;108;38;36;52;17;16;3
43 Rio Grande do Sul;2011;53;19;59;47;93;38;13;16;-;11;-
50 Mato Grosso do Sul;2011;532;417;538;170;404;127;164;202;23;58;11
51 Mato Grosso;2011;522;670;1991;744;1534;526;509;770;86;160;68
52 Goiás;2011;1224;702;1357;649;954;349;568;547;72;177;57
53 Distrito Federal;2011;165;47;114;63;137;30;60;60;6;20;2
11 Rondônia;2012;181;155;585;256;411;167;120;240;37;56;15
12 Acre;2012;34;76;139;69;100;11;58;44;14;7;7
13 Amazonas;2012;272;195;536;156;424;157;124;201;56;33;27
14 Roraima;2012;90;37;42;40;39;41;38;44;7;9;4
15 Pará;2012;1577;1265;3563;1096;2306;629;682;888;80;127;102
16 Amapá;2012;65;97;83;24;59;24;26;88;5;17;-
17 Tocantins;2012;390;292;705;226;549;195;273;377;45;81;44
21 Maranhão;2012;1072;1875;2953;824;1766;576;692;1137;112;162;153
22 Piauí;2012;348;482;951;257;538;161;236;312;82;84;25
23 Ceará;2012;2579;783;1278;438;600;228;192;356;29;56;80
24 Rio Grande do Norte;2012;120;100;197;53;69;25;62;51;9;27;-
25 Paraíba;2012;389;209;385;257;269;101;89;175;11;28;12
26 Pernambuco;2012;1646;1000;2057;737;1207;398;502;773;47;130;133
27 Alagoas;2012;245;229;294;81;165;65;89;109;8;22;22
28 Sergipe;2012;228;210;470;141;363;86;156;198;33;82;41
29 Bahia;2012;1638;694;1685;493;920;314;365;669;46;104;35
31 Minas Gerais;2012;1153;567;1240;382;552;195;154;322;47;56;43
32 Espírito Santo;2012;246;268;628;236;458;113;197;373;44;72;28
33 Rio de Janeiro;2012;1558;160;783;400;707;248;241;394;38;75;79
35 São Paulo;2012;866;375;1202;593;839;470;323;701;52;156;31
41 Paraná;2012;334;392;995;446;382;154;108;215;23;60;22
42 Santa Catarina;2012;214;26;188;94;98;16;13;67;10;7;5
43 Rio Grande do Sul;2012;74;14;86;28;70;17;27;18;7;25;-
50 Mato Grosso do Sul;2012;528;236;656;245;400;187;128;198;28;51;16
51 Mato Grosso;2012;580;659;1664;700;1361;415;537;901;100;168;63
52 Goiás;2012;1241;575;1110;634;1110;416;403;581;72;116;32
53 Distrito Federal;2012;141;41;114;75;194;80;48;86;17;22;-
11 Rondônia;2013;206;204;558;187;392;155;146;174;18;34;28
12 Acre;2013;48;23;100;29;60;20;64;33;-;15;-
13 Amazonas;2013;393;183;698;200;395;108;124;300;29;62;48
14 Roraima;2013;42;33;56;17;38;12;16;29;6;-;-
15 Pará;2013;1412;977;3430;896;2078;408;559;855;114;103;110
16 Amapá;2013;53;46;89;30;83;45;55;57;18;42;-
17 Tocantins;2013;412;239;688;219;470;142;232;539;38;105;49
21 Maranhão;2013;1305;2012;3018;927;1764;645;658;1207;85;165;136
22 Piauí;2013;415;404;769;242;496;130;204;341;73;54;23
23 Ceará;2013;2058;826;1349;386;683;280;206;481;20;45;28
24 Rio Grande do Norte;2013;131;75;157;48;83;30;25;45;7;10;1
25 Paraíba;2013;322;177;409;88;252;64;87;177;33;33;17
26 Pernambuco;2013;2168;827;1918;682;1441;457;490;767;79;144;223
27 Alagoas;2013;165;227;234;89;189;40;20;92;19;28;8
28 Sergipe;2013;182;219;365;111;220;125;109;215;24;63;16
29 Bahia;2013;1347;661;1569;348;866;323;367;521;62;125;64
31 Minas Gerais;2013;990;448;922;369;489;179;132;274;31;71;37
32 Espírito Santo;2013;293;243;628;283;409;145;165;312;49;57;27
33 Rio de Janeiro;2013;1103;131;600;384;620;232;220;423;43;69;44
35 São Paulo;2013;881;312;1106;469;846;458;275;601;74;104;24
41 Paraná;2013;287;349;917;353;368;173;108;200;23;43;17
42 Santa Catarina;2013;105;11;103;63;61;36;14;10;13;8;-
43 Rio Grande do Sul;2013;35;20;122;65;45;12;10;19;9;15;-
50 Mato Grosso do Sul;2013;796;217;549;202;331;142;125;182;24;35;40
51 Mato Grosso;2013;658;624;1694;674;1834;482;782;945;197;228;49
52 Goiás;2013;913;328;1157;507;886;452;426;599;76;93;84
53 Distrito Federal;2013;164;59;138;41;105;56;46;86;16;25;4
11 Rondônia;2014;211;170;525;223;369;90;136;354;58;49;8
12 Acre;2014;79;42;128;46;69;27;11;47;22;3;-
13 Amazonas;2014;281;201;421;137;374;87;175;314;32;41;5
14 Roraima;2014;89;7;28;15;26;2;20;46;-;5;-
15 Pará;2014;1311;1077;3132;753;2297;570;689;850;99;148;71
16 Amapá;2014;111;14;81;16;57;38;17;68;8;9;8
17 Tocantins;2014;457;269;614;223;581;156;305;467;39;106;42
21 Maranhão;2014;1151;2065;2891;727;1920;619;758;1192;85;184;137
22 Piauí;2014;436;496;834;242;505;147;245;461;41;60;32
23 Ceará;2014;1393;973;1404;335;756;324;347;455;61;79;73
24 Rio Grande do Norte;2014;132;105;166;34;95;23;34;55;4;11;11
25 Paraíba;2014;245;126;256;76;139;54;38;147;11;32;12
26 Pernambuco;2014;2418;926;1801;721;1316;343;398;726;73;133;150
27 Alagoas;2014;175;198;248;67;153;44;43;97;7;10;1
28 Sergipe;2014;206;187;435;102;374;78;93;192;26;26;15
29 Bahia;2014;1614;763;1838;426;1126;264;391;776;41;101;58
31 Minas Gerais;2014;1115;329;982;388;494;136;167;360;45;92;22
32 Espírito Santo;2014;163;199;478;198;343;128;217;299;41;106;18
33 Rio de Janeiro;2014;919;155;604;287;460;207;185;382;44;103;41
35 São Paulo;2014;1065;267;862;452;966;481;370;641;39;110;3
41 Paraná;2014;256;228;749;264;321;176;171;192;33;53;3
42 Santa Catarina;2014;116;14;66;57;105;31;14;19;4;9;-
43 Rio Grande do Sul;2014;52;20;102;17;42;24;17;35;7;3;-
50 Mato Grosso do Sul;2014;551;291;662;315;592;159;187;254;48;65;27
51 Mato Grosso;2014;659;1294;1931;721;1841;501;599;1142;164;240;72
52 Goiás;2014;917;486;1193;494;976;382;410;675;60;137;34
53 Distrito Federal;2014;189;45;150;98;217;77;96;114;16;31;6
11 Rondônia;2015;111;137;475;184;359;101;118;207;21;36;9
12 Acre;2015;67;80;137;1;80;24;12;38;15;12;4
13 Amazonas;2015;421;178;459;153;315;86;117;243;20;19;35
14 Roraima;2015;15;31;47;28;29;12;22;22;8;20;-
15 Pará;2015;1045;909;2743;699;1826;350;521;948;135;141;82
16 Amapá;2015;49;61;86;17;36;19;6;39;-;17;-
17 Tocantins;2015;412;366;733;174;691;175;333;629;118;81;27
21 Maranhão;2015;1065;1977;2800;949;1997;612;787;1346;94;146;115
22 Piauí;2015;595;625;883;204;419;185;176;340;49;93;30
23 Ceará;2015;1592;698;1184;257;755;276;239;427;54;106;59
24 Rio Grande do Norte;2015;98;95;125;65;107;41;36;35;-;2;8
25 Paraíba;2015;287;114;214;97;80;33;38;72;3;23;8
26 Pernambuco;2015;1915;757;1573;560;998;348;435;665;58;116;155
27 Alagoas;2015;149;211;258;60;258;60;69;65;14;26;6
28 Sergipe;2015;247;176;347;97;248;96;74;107;15;42;-
29 Bahia;2015;1461;687;1426;445;1135;348;385;795;54;200;100
31 Minas Gerais;2015;903;399;937;388;477;242;184;365;48;101;10
32 Espírito Santo;2015;147;304;363;144;374;133;186;195;37;52;17
33 Rio de Janeiro;2015;774;125;448;241;437;149;201;286;44;70;33
35 São Paulo;2015;993;242;830;412;623;463;374;567;43;123;2
41 Paraná;2015;259;255;613;263;372;136;141;232;17;42;-
42 Santa Catarina;2015;80;19;66;78;110;33;20;24;-;5;-
43 Rio Grande do Sul;2015;35;5;47;16;66;35;11;23;7;17;-
50 Mato Grosso do Sul;2015;540;186;409;123;297;96;107;165;73;26;15
