UF de notificação;Ano;Ignorado;Masculino;Feminino
27 Alagoas;2010;;836;860
28 Sergipe;2010;;1062;1010
29 Bahia;2010;;6061;5732
31 Minas Gerais;2010;;3203;2463
32 Espírito Santo;2010;;2185;2049
33 Rio de Janeiro;2010;;3887;3636
35 São Paulo;2010;;4222;3155
41 Paraná;2010;;2157;1616
42 Santa Catarina;2010;;399;400
43 Rio Grande do Sul;2010;;268;210
50 Mato Grosso do Sul;2010;;1950;1842
51 Mato Grosso;2010;;5404;4310
52 Goiás;2010;;4908;3790
53 Distrito Federal;2010;;577;461
11 Rondônia;2011;;1691;1221
12 Acre;2011;;678;364
13 Amazonas;2011;;1769;1231
14 Roraima;2011;;333;158
15 Pará;2011;;10232;7166
16 Amapá;2011;;611;337
17 Tocantins;2011;;2444;1727
21 Maranhão;2011;;9848;7334
22 Piauí;2011;;2665;2307
23 Ceará;2011;;4906;3558
24 Rio Grande do Norte;2011;;564;453
25 Paraíba;2011;;1576;1261
26 Pernambuco;2011;;5793;5586
27 Alagoas;2011;;805;831
28 Sergipe;2011;;843;1104
29 Bahia;2011;;5747;5542
31 Minas Gerais;2011;;3388;2350
32 Espírito Santo;2011;;2086;1967
33 Rio de Janeiro;2011;;3527;3449
35 São Paulo;2011;;3623;3239
41 Paraná;2011;;2102;1401
42 Santa Catarina;2011;;476;344
43 Rio Grande do Sul;2011;;239;259
50 Mato Grosso do Sul;2011;;1647;1439
51 Mato Grosso;2011;;5257;4426
52 Goiás;2011;;4581;3866
53 Distrito Federal;2011;;471;437
11 Rondônia;2012;-;1505;1110
12 Acre;2012;-;505;302
13 Amazonas;2012;-;2043;1075
14 Roraima;2012;-;462;184
15 Pará;2012;-;10154;6768
16 Amapá;2012;-;394;295
17 Tocantins;2012;7;2094;1711
21 Maranhão;2012;-;10098;7093
22 Piauí;2012;-;2704;2104
23 Ceará;2012;-;5153;4016
24 Rio Grande do Norte;2012;-;562;673
25 Paraíba;2012;-;1249;1371
26 Pernambuco;2012;-;5339;5495
27 Alagoas;2012;-;879;1024
28 Sergipe;2012;-;1179;990
29 Bahia;2012;4;5717;4874
31 Minas Gerais;2012;-;3121;2233
32 Espírito Santo;2012;-;1656;1380
33 Rio de Janeiro;2012;-;3396;2825
35 São Paulo;2012;-;3599;2759
41 Paraná;2012;-;1852;1493
42 Santa Catarina;2012;-;510;352
43 Rio Grande do Sul;2012;-;288;199
50 Mato Grosso do Sul;2012;-;1681;1421
51 Mato Grosso;2012;-;4986;4085
52 Goiás;2012;7;4665;3160
53 Distrito Federal;2012;-;497;469
11 Rondônia;2013;-;1535;1080
12 Acre;2013;-;335;211
13 Amazonas;2013;-;1905;1291
14 Roraima;2013;-;303;282
15 Pará;2013;-;8670;5717
16 Amapá;2013;-;372;265
17 Tocantins;2013;-;2058;1697
21 Maranhão;2013;-;9210;7302
22 Piauí;2013;-;2191;2172
23 Ceará;2013;6;5514;3787
24 Rio Grande do Norte;2013;-;443;535
25 Paraíba;2013;-;1232;1097
26 Pernambuco;2013;-;5437;5824
27 Alagoas;2013;1;666;802
28 Sergipe;2013;-;956;901
29 Bahia;2013;2;4636;4362
31 Minas Gerais;2013;-;2438;1894
32 Espírito Santo;2013;-;1583;1315
33 Rio de Janeiro;2013;-;2692;2233
35 São Paulo;2013;-;3340;2535
41 Paraná;2013;-;1720;1283
42 Santa Catarina;2013;-;330;194
43 Rio Grande do Sul;2013;-;256;178
50 Mato Grosso do Sul;2013;-;1476;1486
51 Mato Grosso;2013;-;5330;5005
52 Goiás;2013;-;3743;2829
53 Distrito Federal;2013;-;550;360
11 Rondônia;2014;-;1352;1121
12 Acre;2014;-;424;158
13 Amazonas;2014;-;1359;1141
14 Roraima;2014;-;231;128
15 Pará;2014;-;8702;5814
16 Amapá;2014;-;427;237
17 Tocantins;2014;-;2273;1698
21 Maranhão;2014;4;8820;6580
22 Piauí;2014;-;2566;2024
23 Ceará;2014;3;5153;3930
24 Rio Grande do Norte;2014;-;514;545
25 Paraíba;2014;-;1170;956
26 Pernambuco;2014;-;5604;5690
27 Alagoas;2014;-;639;739
28 Sergipe;2014;-;1001;984
29 Bahia;2014;-;5758;5066
31 Minas Gerais;2014;-;2558;1861
32 Espírito Santo;2014;-;1231;1127
33 Rio de Janeiro;2014;-;2377;2091
35 São Paulo;2014;-;3087;2653
41 Paraná;2014;-;1442;1150
42 Santa Catarina;2014;-;324;222
43 Rio Grande do Sul;2014;-;232;174
50 Mato Grosso do Sul;2014;-;1731;1749
51 Mato Grosso;2014;-;5942;5310
52 Goiás;2014;-;3779;2790
53 Distrito Federal;2014;-;658;672
11 Rondônia;2015;-;1190;853
12 Acre;2015;-;411;188
13 Amazonas;2015;-;1511;899
14 Roraima;2015;-;259;102
15 Pará;2015;-;8092;5051
16 Amapá;2015;-;327;187
17 Tocantins;2015;-;2346;1791
21 Maranhão;2015;-;8630;6124
22 Piauí;2015;-;2576;2043
23 Ceará;2015;-;4991;3496
24 Rio Grande do Norte;2015;-;518;485
25 Paraíba;2015;-;987;792
26 Pernambuco;2015;-;5051;4519
27 Alagoas;2015;-;793;770
28 Sergipe;2015;-;870;822
29 Bahia;2015;-;4937;5091
31 Minas Gerais;2015;2;2449;1905
32 Espírito Santo;2015;-;1167;983
33 Rio de Janeiro;2015;-;2012;1867
35 São Paulo;2015;-;2921;2239
41 Paraná;2015;-;1543;981
42 Santa Catarina;2015;-;290;244
43 Rio Grande do Sul;2015;-;177;213
50 Mato Grosso do Sul;2015;-;1232;1044
51 Mato Grosso;2015;-;6483;5497
52 Goiás;2015;-;3369;2634
53 Distrito Federal;2015;-;493;509
11 Rondônia;2016;-;922;719
12 Acre;2016;-;391;162
13 Amazonas;2016;-;1337;910
14 Roraima;2016;-;277;146
15 Pará;2016;3;6511;4178
16 Amapá;2016;-;260;163
17 Tocantins;2016;-;3452;2980
21 Maranhão;2016;-;7845;5896
22 Piauí;2016;-;2169;1642
23 Ceará;2016;-;4652;2924
24 Rio Grande do Norte;2016;-;381;311
25 Paraíba;2016;-;853;666
26 Pernambuco;2016;4;3854;3920
27 Alagoas;2016;-;563;487
28 Sergipe;2016;-;658;554
29 Bahia;2016;-;4020;4026
31 Minas Gerais;2016;-;2386;1932
32 Espírito Santo;2016;5;842;743
33 Rio de Janeiro;2016;-;1845;1641
35 São Paulo;2016;-;2922;2353
41 Paraná;2016;-;1237;813
42 Santa Catarina;2016;-;344;215
43 Rio Grande do Sul;2016;-;265;124
50 Mato Grosso do Sul;2016;-;786;592
51 Mato Grosso;2016;-;5835;6108
52 Goiás;2016;-;3001;2255
53 Distrito Federal;2016;-;420;349
11 Rondônia;2017;;1180;661
12 Acre;2017;;384;218
13 Amazonas;2017;;1377;888
14 Roraima;2017;;466;314
15 Pará;2017;;6527;4284
16 Amapá;2017;;410;192
17 Tocantins;2017;;3869;2955
21 Maranhão;2017;;8372;6299
22 Piauí;2017;;2455;2212
23 Ceará;2017;;4046;2817
24 Rio Grande do Norte;2017;;508;378
25 Paraíba;2017;;955;777
26 Pernambuco;2017;;5222;5496
27 Alagoas;2017;;690;640
28 Sergipe;2017;;960;828
29 Bahia;2017;;4703;4121
31 Minas Gerais;2017;;2359;2052
32 Espírito Santo;2017;;951;781
33 Rio de Janeiro;2017;;1756;1566
35 São Paulo;2017;;3038;2035
41 Paraná;2017;;1195;794
42 Santa Catarina;2017;;274;205
43 Rio Grande do Sul;2017;;227;232
50 Mato Grosso do Sul;2017;;903;572
51 Mato Grosso;2017;;9827;6786
52 Goiás;2017;;2893;2041
53 Distrito Federal;2017;;430;329
11 Rondônia;2018;-;1125;1034
12 Acre;2018;-;381;222
13 Amazonas;2018;-;1320;886
14 Roraima;2018;-;317;222
15 Pará;2018;-;6602;4630
16 Amapá;2018;-;407;182
17 Tocantins;2018;-;3990;3686
21 Maranhão;2018;-;7863;5880
22 Piauí;2018;-;2416;2137
23 Ceará;2018;-;4310;2963
24 Rio Grande do Norte;2018;-;482;382
25 Paraíba;2018;-;1069;951
26 Pernambuco;2018;15;5495;5233
27 Alagoas;2018;-;842;699
28 Sergipe;2018;-;916;831
29 Bahia;2018;3;4418;3918
31 Minas Gerais;2018;-;2302;1828
32 Espírito Santo;2018;-;984;782
33 Rio de Janeiro;2018;-;1686;1615
35 São Paulo;2018;-;2742;2333
41 Paraná;2018;-;1229;847
42 Santa Catarina;2018;-;275;195
43 Rio Grande do Sul;2018;-;335;227
50 Mato Grosso do Sul;2018;-;705;452
51 Mato Grosso;2018;2;8649;8830
52 Goiás;2018;-;3021;2003
53 Distrito Federal;2018;-;409;344
11 Rondônia;2019;-;823;787
12 Acre;2019;-;300;128
13 Amazonas;2019;-;1157;860
14 Roraima;2019;-;177;169
15 Pará;2019;-;6690;4574
16 Amapá;2019;-;483;211
17 Tocantins;2019;-;3294;2706
21 Maranhão;2019;-;8509;5760
22 Piauí;2019;-;2264;1774
23 Ceará;2019;2;3511;2382
24 Rio Grande do Norte;2019;-;325;327
25 Paraíba;2019;-;1196;1027
26 Pernambuco;2019;-;5410;5245
27 Alagoas;2019;3;591;612
28 Sergipe;2019;-;794;668
29 Bahia;2019;-;4438;3731
31 Minas Gerais;2019;-;2332;1878
32 Espírito Santo;2019;1;993;1007
33 Rio de Janeiro;2019;-;1599;1474
35 São Paulo;2019;-;2574;2286
41 Paraná;2019;-;1233;815
42 Santa Catarina;2019;-;316;233
43 Rio Grande do Sul;2019;-;234;165
50 Mato Grosso do Sul;2019;-;952;659
51 Mato Grosso;2019;-;7188;7891
52 Goiás;2019;-;2755;2151
53 Distrito Federal;2019;-;692;339
11 Rondônia;2020;;525;474
12 Acre;2020;;216;86
13 Amazonas;2020;;622;381
14 Roraima;2020;;56;71
15 Pará;2020;;3904;2313
16 Amapá;2020;;171;146
17 Tocantins;2020;;1695;1277
21 Maranhão;2020;;4700;3164
22 Piauí;2020;;1123;658
23 Ceará;2020;;2024;1267
24 Rio Grande do Norte;2020;;275;242
25 Paraíba;2020;;650;353
26 Pernambuco;2020;;3017;2695
27 Alagoas;2020;;402;309
28 Sergipe;2020;;551;473
29 Bahia;2020;;2111;1488
31 Minas Gerais;2020;;1404;1175
32 Espírito Santo;2020;;147;118
33 Rio de Janeiro;2020;;795;646
35 São Paulo;2020;;1430;1267
41 Paraná;2020;;725;433
42 Santa Catarina;2020;;190;144
43 Rio Grande do Sul;2020;;103;78
50 Mato Grosso do Sul;2020;;414;343
51 Mato Grosso;2020;;4119;4052
52 Goiás;2020;;1393;1026
53 Distrito Federal;2020;;403;353
