UF de notificação;Ano;Ignorado;Masculino;Feminino
52 Goiás;2015;-;2885;2187
53 Distrito Federal;2015;-;354;350
11 Rondônia;2016;-;763;627
12 Acre;2016;-;301;122
13 Amazonas;2016;-;1120;780
14 Roraima;2016;-;207;93
15 Pará;2016;2;4484;2971
16 Amapá;2016;-;134;84
17 Tocantins;2016;-;2989;2604
21 Maranhão;2016;-;6595;4871
22 Piauí;2016;-;1616;1240
23 Ceará;2016;-;3554;2079
24 Rio Grande do Norte;2016;-;225;200
25 Paraíba;2016;-;519;413
26 Pernambuco;2016;4;3250;3166
27 Alagoas;2016;-;458;379
28 Sergipe;2016;-;574;454
29 Bahia;2016;-;2903;2800
31 Minas Gerais;2016;-;2080;1739
32 Espírito Santo;2016;5;788;675
33 Rio de Janeiro;2016;-;1381;1189
35 São Paulo;2016;-;2617;2056
41 Paraná;2016;-;1152;738
42 Santa Catarina;2016;-;268;188
43 Rio Grande do Sul;2016;-;123;85
50 Mato Grosso do Sul;2016;-;673;503
51 Mato Grosso;2016;-;4715;5092
52 Goiás;2016;-;2644;1901
53 Distrito Federal;2016;-;302;253
11 Rondônia;2017;;899;550
12 Acre;2017;;273;160
13 Amazonas;2017;;1161;783
14 Roraima;2017;;352;230
15 Pará;2017;;4578;2887
16 Amapá;2017;;231;88
17 Tocantins;2017;;3250;2522
21 Maranhão;2017;;7527;5650
22 Piauí;2017;;1899;1674
23 Ceará;2017;;3233;2186
24 Rio Grande do Norte;2017;;312;240
25 Paraíba;2017;;607;482
26 Pernambuco;2017;;4526;4696
27 Alagoas;2017;;518;495
28 Sergipe;2017;;780;665
29 Bahia;2017;;3393;2943
31 Minas Gerais;2017;;1880;1633
32 Espírito Santo;2017;;917;717
33 Rio de Janeiro;2017;;1238;1128
35 São Paulo;2017;;2527;1725
41 Paraná;2017;;1102;733
42 Santa Catarina;2017;;211;142
43 Rio Grande do Sul;2017;;147;122
50 Mato Grosso do Sul;2017;;813;497
51 Mato Grosso;2017;;8678;5420
52 Goiás;2017;;2415;1767
53 Distrito Federal;2017;;323;171
11 Rondônia;2018;-;938;896
12 Acre;2018;-;311;162
13 Amazonas;2018;-;983;734
14 Roraima;2018;-;271;170
15 Pará;2018;-;4723;3149
16 Amapá;2018;-;250;109
17 Tocantins;2018;-;3553;3369
21 Maranhão;2018;-;6995;5220
22 Piauí;2018;-;1761;1491
23 Ceará;2018;-;3475;2310
24 Rio Grande do Norte;2018;-;311;260
25 Paraíba;2018;-;713;612
26 Pernambuco;2018;9;4730;4430
27 Alagoas;2018;-;574;499
28 Sergipe;2018;-;651;650
29 Bahia;2018;-;3068;2603
31 Minas Gerais;2018;-;1735;1462
32 Espírito Santo;2018;-;882;681
33 Rio de Janeiro;2018;-;1197;1151
35 São Paulo;2018;-;2215;1896
41 Paraná;2018;-;1122;808
42 Santa Catarina;2018;-;217;160
43 Rio Grande do Sul;2018;-;206;175
50 Mato Grosso do Sul;2018;-;580;402
51 Mato Grosso;2018;1;6566;7034
52 Goiás;2018;-;2486;1768
53 Distrito Federal;2018;-;279;220
11 Rondônia;2019;-;515;502
12 Acre;2019;-;199;87
13 Amazonas;2019;-;790;673
14 Roraima;2019;-;118;110
15 Pará;2019;-;4406;2885
16 Amapá;2019;-;183;119
17 Tocantins;2019;-;2811;2325
21 Maranhão;2019;-;6871;4480
22 Piauí;2019;-;1473;1202
23 Ceará;2019;1;2848;1889
24 Rio Grande do Norte;2019;-;207;198
25 Paraíba;2019;-;472;378
26 Pernambuco;2019;-;4139;3941
27 Alagoas;2019;3;381;348
28 Sergipe;2019;-;588;516
29 Bahia;2019;-;2739;2243
31 Minas Gerais;2019;-;1652;1376
32 Espírito Santo;2019;1;856;822
33 Rio de Janeiro;2019;-;1015;983
35 São Paulo;2019;-;1999;1652
41 Paraná;2019;-;958;654
42 Santa Catarina;2019;-;189;153
43 Rio Grande do Sul;2019;-;137;87
50 Mato Grosso do Sul;2019;-;740;507
51 Mato Grosso;2019;-;5034;5786
52 Goiás;2019;-;2148;1683
53 Distrito Federal;2019;-;585;268
11 Rondônia;2020;;273;292
12 Acre;2020;;95;25
13 Amazonas;2020;;264;195
14 Roraima;2020;;9;7
15 Pará;2020;;1588;1023
16 Amapá;2020;;49;46
17 Tocantins;2020;;1096;768
21 Maranhão;2020;;2563;1600
22 Piauí;2020;;338;203
23 Ceará;2020;;1351;708
24 Rio Grande do Norte;2020;;70;52
25 Paraíba;2020;;224;159
26 Pernambuco;2020;;1728;1466
27 Alagoas;2020;;148;121
28 Sergipe;2020;;390;268
29 Bahia;2020;;812;536
31 Minas Gerais;2020;;510;375
32 Espírito Santo;2020;;31;41
33 Rio de Janeiro;2020;;281;259
35 São Paulo;2020;;673;627
41 Paraná;2020;;429;252
42 Santa Catarina;2020;;72;74
43 Rio Grande do Sul;2020;;21;44
50 Mato Grosso do Sul;2020;;210;196
51 Mato Grosso;2020;;1950;1976
52 Goiás;2020;;735;484
53 Distrito Federal;2020;;116;118
