UF de notificação;Ano;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais
21 Maranhão;2002;15;12;158;443;601;1115;817;847;684;475;255;91
22 Piauí;2002;3;8;37;93;148;326;309;353;261;188;100;26
23 Ceará;2002;2;10;38;106;161;419;484;510;435;352;203;69
24 Rio Grande do Norte;2002;0;2;8;8;11;47;49;44;46;34;18;5
25 Paraíba;2002;0;3;18;66;80;164;169;162;128;101;68;15
26 Pernambuco;2002;2;21;143;182;321;793;617;558;478;340;218;51
27 Alagoas;2002;0;3;4;24;40;91;86;77;55;23;29;8
28 Sergipe;2002;1;1;9;32;51;99;90;72;66;37;28;14
29 Bahia;2002;6;17;64;130;211;581;443;445;376;253;127;52
31 Minas Gerais;2002;0;13;45;129;197;540;602;814;610;436;243;84
32 Espírito Santo;2002;0;1;34;94;135;353;281;343;268;183;108;19
33 Rio de Janeiro;2002;1;30;73;107;183;651;605;784;596;425;240;65
35 São Paulo;2002;0;7;30;72;153;555;555;778;613;422;219;60
41 Paraná;2002;1;2;7;28;58;215;355;487;385;272;133;35
42 Santa Catarina;2002;2;0;1;6;8;28;53;64;50;31;9;7
43 Rio Grande do Sul;2002;0;0;2;5;7;23;35;70;65;51;28;5
50 Mato Grosso do Sul;2002;1;0;9;14;25;104;122;159;125;81;45;6
51 Mato Grosso;2002;8;13;98;183;273;851;809;820;494;310;122;36
52 Goiás;2002;3;17;43;119;236;814;735;699;565;349;141;51
53 Distrito Federal;2002;0;1;5;21;26;152;95;97;69;45;17;9
11 Rondônia;2003;3;4;37;80;134;345;339;272;194;101;37;5
12 Acre;2003;0;1;8;28;51;145;86;68;40;35;10;6
13 Amazonas;2003;8;9;33;91;131;347;258;200;127;69;29;3
14 Roraima;2003;1;0;9;27;39;94;66;65;36;21;11;4
15 Pará;2003;30;22;197;546;783;1702;1247;1128;772;426;196;53
16 Amapá;2003;1;1;4;28;36;53;61;38;21;19;9;2
17 Tocantins;2003;1;6;29;98;144;335;281;248;173;119;55;24
21 Maranhão;2003;10;19;173;437;705;1261;839;781;720;480;238;110
22 Piauí;2003;4;10;42;144;179;384;323;346;295;209;116;35
23 Ceará;2003;5;7;38;101;218;468;540;626;499;408;230;79
24 Rio Grande do Norte;2003;1;0;3;12;21;55;41;59;46;22;15;5
25 Paraíba;2003;0;3;11;75;95;196;156;173;131;104;59;21
26 Pernambuco;2003;9;40;144;225;375;902;730;627;547;332;182;77
27 Alagoas;2003;1;2;9;30;67;143;98;84;88;40;28;11
28 Sergipe;2003;2;5;11;37;64;169;108;103;66;55;32;17
29 Bahia;2003;20;24;76;219;346;810;576;554;502;302;148;44
31 Minas Gerais;2003;0;6;65;136;190;544;588;818;627;440;194;65
32 Espírito Santo;2003;0;5;29;103;149;375;301;359;302;185;91;38
33 Rio de Janeiro;2003;3;17;78;115;196;588;554;641;537;381;222;55
35 São Paulo;2003;1;4;33;76;148;588;611;785;601;466;229;52
41 Paraná;2003;6;2;13;41;68;237;360;460;409;281;135;44
42 Santa Catarina;2003;1;1;0;9;7;40;41;75;59;38;23;2
43 Rio Grande do Sul;2003;0;0;3;2;7;23;24;74;62;45;17;6
50 Mato Grosso do Sul;2003;0;1;7;28;23;129;143;171;131;93;57;17
51 Mato Grosso;2003;3;11;92;200;304;934;897;829;582;363;118;25
52 Goiás;2003;21;8;65;105;260;834;750;763;569;358;168;38
53 Distrito Federal;2003;0;1;4;17;27;142;102;102;61;40;16;6
11 Rondônia;2004;12;4;31;73;117;347;309;281;177;101;44;7
12 Acre;2004;0;0;7;25;37;117;74;52;32;24;5;1
13 Amazonas;2004;2;2;36;77;126;343;224;182;118;87;44;9
14 Roraima;2004;0;2;9;24;40;83;53;50;45;24;12;0
15 Pará;2004;24;22;208;549;717;1607;1259;1063;768;463;187;55
16 Amapá;2004;0;1;6;18;22;56;41;35;26;14;10;4
17 Tocantins;2004;4;4;45;72;129;325;274;252;211;132;70;16
21 Maranhão;2004;10;20;177;406;700;1353;815;865;753;524;293;115
22 Piauí;2004;10;2;49;95;188;366;307;310;277;210;120;36
23 Ceará;2004;2;5;54;132;172;501;488;531;528;366;214;82
24 Rio Grande do Norte;2004;1;1;7;18;20;69;47;61;62;52;22;6
25 Paraíba;2004;2;3;16;48;121;163;161;165;135;113;57;24
26 Pernambuco;2004;11;28;159;219;301;822;674;636;503;328;195;56
27 Alagoas;2004;0;0;13;22;50;95;83;78;83;41;26;13
28 Sergipe;2004;3;2;16;31;71;138;107;103;82;64;32;13
29 Bahia;2004;18;12;107;241;339;857;747;718;638;388;200;90
31 Minas Gerais;2004;0;4;61;153;177;501;552;680;589;444;202;63
32 Espírito Santo;2004;0;2;39;87;102;336;280;318;290;131;104;25
33 Rio de Janeiro;2004;5;11;72;116;168;573;509;602;557;406;210;65
35 São Paulo;2004;0;3;34;71;126;497;542;713;585;390;247;59
41 Paraná;2004;5;11;47;66;111;272;315;471;387;245;127;48
42 Santa Catarina;2004;0;0;4;8;6;32;53;63;83;32;14;5
43 Rio Grande do Sul;2004;0;0;2;5;2;28;36;67;69;38;19;3
50 Mato Grosso do Sul;2004;0;1;10;29;36;119;139;169;132;105;41;9
51 Mato Grosso;2004;4;9;86;170;288;832;751;796;530;326;118;26
52 Goiás;2004;11;5;42;112;216;791;755;803;598;348;201;37
53 Distrito Federal;2004;0;1;2;11;32;141;81;82;58;27;19;3
11 Rondônia;2005;0;2;18;60;105;326;329;284;179;86;41;7
12 Acre;2005;1;1;14;25;46;124;74;51;36;18;9;4
13 Amazonas;2005;3;5;24;63;125;299;225;167;130;67;24;7
14 Roraima;2005;0;0;10;27;30;80;44;59;39;20;5;1
15 Pará;2005;29;15;210;486;643;1582;1099;915;724;395;192;62
16 Amapá;2005;0;0;4;7;21;37;39;42;33;19;6;3
17 Tocantins;2005;1;3;48;82;100;302;277;260;175;146;74;17
21 Maranhão;2005;4;22;209;486;654;1352;986;903;888;559;291;143
22 Piauí;2005;11;7;61;90;160;351;329;369;310;225;119;46
23 Ceará;2005;3;10;77;118;151;461;510;587;497;376;227;92
24 Rio Grande do Norte;2005;3;3;18;25;35;101;88;84;78;57;33;13
25 Paraíba;2005;1;2;25;63;94;239;158;173;163;110;73;30
26 Pernambuco;2005;3;25;176;179;258;755;696;652;523;360;164;80
27 Alagoas;2005;0;0;7;31;50;109;92;86;61;48;26;8
28 Sergipe;2005;0;2;22;41;67;158;133;118;119;66;31;13
29 Bahia;2005;22;20;103;202;297;807;728;719;569;361;207;74
31 Minas Gerais;2005;1;8;54;124;124;435;548;675;617;403;212;67
32 Espírito Santo;2005;0;3;35;111;102;297;284;312;256;145;77;25
33 Rio de Janeiro;2005;0;15;69;110;144;555;452;566;492;367;186;73
35 São Paulo;2005;0;4;40;53;119;474;507;693;601;387;228;65
41 Paraná;2005;1;1;16;34;60;203;307;459;385;260;150;36
42 Santa Catarina;2005;1;0;2;5;8;39;49;76;50;34;12;6
43 Rio Grande do Sul;2005;1;1;1;2;7;16;30;55;82;51;27;4
50 Mato Grosso do Sul;2005;0;2;8;25;27;116;111;154;122;82;46;7
51 Mato Grosso;2005;4;7;91;180;247;731;894;874;626;333;170;31
52 Goiás;2005;5;10;59;113;189;774;779;741;588;353;179;61
53 Distrito Federal;2005;0;0;4;10;28;113;87;92;70;33;20;6
11 Rondônia;2006;2;1;35;68;117;360;315;298;200;94;33;8
12 Acre;2006;0;1;15;45;55;181;119;77;69;33;9;6
13 Amazonas;2006;2;1;26;74;91;238;193;156;150;74;32;15
14 Roraima;2006;0;0;9;29;27;73;48;46;54;26;6;0
15 Pará;2006;5;21;173;400;532;1401;1075;861;636;422;195;49
16 Amapá;2006;1;0;5;12;22;70;38;33;38;19;3;2
17 Tocantins;2006;0;4;37;105;122;398;293;296;225;113;43;26
21 Maranhão;2006;0;15;194;388;453;1181;797;786;751;508;306;113
22 Piauí;2006;13;5;60;92;128;298;272;308;312;233;104;40
23 Ceará;2006;1;3;48;123;153;379;446;467;484;350;192;80
24 Rio Grande do Norte;2006;0;4;10;13;13;56;61;51;67;40;24;13
25 Paraíba;2006;1;2;22;53;85;178;158;180;185;107;66;35
26 Pernambuco;2006;2;35;157;205;239;737;663;581;588;410;185;51
27 Alagoas;2006;0;1;11;24;40;106;83;75;87;40;26;8
28 Sergipe;2006;0;2;18;25;51;152;116;90;109;69;27;11
29 Bahia;2006;8;13;99;172;259;704;668;631;547;344;210;54
31 Minas Gerais;2006;1;6;40;82;125;397;461;558;547;369;194;65
32 Espírito Santo;2006;0;9;28;70;63;270;205;225;228;155;75;23
33 Rio de Janeiro;2006;0;17;82;86;129;497;480;530;571;389;207;47
35 São Paulo;2006;0;4;22;50;89;413;422;607;502;358;214;53
41 Paraná;2006;0;1;12;23;60;210;283;395;379;299;149;27
42 Santa Catarina;2006;0;0;0;4;5;22;57;58;61;40;14;4
43 Rio Grande do Sul;2006;0;0;0;1;6;26;34;56;70;40;21;8
50 Mato Grosso do Sul;2006;1;0;6;16;28;111;114;153;133;75;51;12
51 Mato Grosso;2006;4;13;56;131;207;689;770;767;586;317;130;34
52 Goiás;2006;0;10;66;123;149;669;752;706;648;331;170;52
53 Distrito Federal;2006;0;0;3;11;23;98;79;78;57;36;20;9
11 Rondônia;2007;2;21;65;82;291;266;333;177;92;26;7
12 Acre;2007;4;11;19;18;106;48;37;35;27;5;6
13 Amazonas;2007;4;27;66;75;217;177;129;118;69;31;5
14 Roraima;2007;0;5;15;24;54;55;43;37;28;6;1
15 Pará;2007;6;164;359;480;1241;910;778;675;397;206;48
16 Amapá;2007;0;5;9;15;37;30;29;19;13;8;6
17 Tocantins;2007;3;43;90;105;299;281;280;221;135;63;28
21 Maranhão;2007;12;117;305;381;1006;760;757;714;472;263;103
22 Piauí;2007;9;37;78;105;281;286;272;271;211;94;40
23 Ceará;2007;12;63;109;119;365;457;502;524;357;219;95
24 Rio Grande do Norte;2007;2;15;25;15;56;71;83;75;52;22;13
25 Paraíba;2007;1;13;42;60;157;138;160;143;120;70;27
26 Pernambuco;2007;30;177;188;211;631;645;501;503;357;169;64
27 Alagoas;2007;0;5;17;33;109;93;76;52;30;24;6
28 Sergipe;2007;19;15;33;38;124;121;106;102;52;29;11
29 Bahia;2007;11;84;168;211;621;600;555;518;352;172;77
31 Minas Gerais;2007;1;40;71;89;308;395;482;473;306;206;67
32 Espírito Santo;2007;5;27;70;131;241;216;208;227;113;70;17
33 Rio de Janeiro;2007;13;60;81;97;412;403;450;462;322;177;54
35 São Paulo;2007;7;33;60;83;384;425;520;516;345;179;55
41 Paraná;2007;1;3;20;41;152;238;324;369;233;130;36
42 Santa Catarina;2007;1;0;4;10;36;34;53;67;34;14;4
43 Rio Grande do Sul;2007;0;0;4;7;23;11;52;65;40;19;5
50 Mato Grosso do Sul;2007;0;1;17;27;86;113;128;126;95;58;14
51 Mato Grosso;2007;10;62;127;145;565;683;739;579;319;139;25
52 Goiás;2007;6;58;94;146;568;607;648;530;314;147;54
53 Distrito Federal;2007;0;7;7;12;86;90;64;71;31;21;2
11 Rondônia;2008;0;28;71;84;269;238;251;167;99;33;11
12 Acre;2008;2;9;20;23;82;57;46;30;22;6;1
13 Amazonas;2008;5;21;46;84;207;210;177;111;62;26;10
14 Roraima;2008;0;7;18;13;49;31;43;42;23;5;1
15 Pará;2008;12;167;396;437;1223;1039;860;715;466;185;59
16 Amapá;2008;1;15;11;22;50;40;51;29;18;9;2
17 Tocantins;2008;7;52;108;122;317;318;259;245;144;65;23
21 Maranhão;2008;24;147;270;404;973;900;770;773;516;268;107
22 Piauí;2008;11;61;123;128;373;388;383;360;277;151;57
23 Ceará;2008;6;74;106;131;408;490;504;517;339;190;98
24 Rio Grande do Norte;2008;1;7;22;14;43;48;51;51;44;31;10
25 Paraíba;2008;8;8;50;49;138;134;164;140;116;63;18
26 Pernambuco;2008;28;129;188;162;610;644;504;512;326;174;43
27 Alagoas;2008;2;8;15;24;90;84;75;69;57;25;5
28 Sergipe;2008;2;13;26;21;111;102;78;83;52;37;12
29 Bahia;2008;14;90;141;208;588;611;594;563;358;174;60
31 Minas Gerais;2008;4;26;54;87;274;355;399;450;290;172;61
32 Espírito Santo;2008;5;36;76;77;216;225;201;210;126;71;17
33 Rio de Janeiro;2008;17;40;57;84;362;405;406;499;292;172;35
35 São Paulo;2008;5;30;64;79;338;447;542;518;348;221;49
41 Paraná;2008;0;8;24;34;148;232;329;399;232;105;33
42 Santa Catarina;2008;1;4;0;2;32;34;59;56;38;19;2
43 Rio Grande do Sul;2008;0;0;1;9;14;26;42;71;41;19;4
50 Mato Grosso do Sul;2008;2;16;18;27;97;121;155;141;102;42;9
51 Mato Grosso;2008;12;76;110;138;538;640;658;529;316;132;33
52 Goiás;2008;6;53;106;128;500;717;661;562;339;157;41
53 Distrito Federal;2008;0;5;21;16;88;98;60;48;28;18;2
11 Rondônia;2009;2;34;61;61;213;261;256;171;100;57;12
12 Acre;2009;0;8;20;13;63;64;65;23;22;9;2
13 Amazonas;2009;0;19;47;70;224;174;134;118;72;30;17
14 Roraima;2009;1;4;7;14;47;37;31;26;15;8;0
15 Pará;2009;12;152;381;380;1078;1001;773;670;397;167;56
16 Amapá;2009;0;11;14;19;57;48;45;44;17;10;2
17 Tocantins;2009;5;49;64;70;254;263;220;223;132;78;27
21 Maranhão;2009;12;141;283;326;973;766;682;687;472;302;89
22 Piauí;2009;5;30;84;102;262;284;283;288;222;106;51
23 Ceará;2009;6;40;97;97;343;465;455;453;359;202;98
24 Rio Grande do Norte;2009;0;9;12;15;40;65;60;72;45;29;8
25 Paraíba;2009;1;15;36;40;140;146;163;148;100;58;27
26 Pernambuco;2009;17;123;214;184;671;650;607;549;384;175;73
27 Alagoas;2009;1;5;21;34;113;110;58;60;42;31;6
28 Sergipe;2009;0;11;22;33;109;115;100;110;64;38;12
29 Bahia;2009;10;91;172;185;563;623;565;531;382;185;65
31 Minas Gerais;2009;3;26;64;62;253;365;397;419;299;144;42
32 Espírito Santo;2009;7;26;52;67;190;221;176;225;149;78;33
33 Rio de Janeiro;2009;9;59;63;64;327;418;372;503;317;157;40
35 São Paulo;2009;5;41;64;61;304;417;495;467;342;146;45
41 Paraná;2009;1;5;13;37;147;199;307;334;214;125;34
42 Santa Catarina;2009;0;0;2;8;23;46;55;43;28;18;2
43 Rio Grande do Sul;2009;0;3;1;6;19;13;39;63;45;16;3
50 Mato Grosso do Sul;2009;3;10;18;17;110;127;154;163;104;64;16
51 Mato Grosso;2009;7;62;96;136;562;630;653;552;324;102;30
52 Goiás;2009;4;30;85;121;468;752;620;569;341;198;56
53 Distrito Federal;2009;0;2;9;21;81;74;64;56;39;20;1
11 Rondônia;2010;2;14;38;69;229;235;194;155;88;41;15
12 Acre;2010;0;13;18;16;61;72;41;26;14;12;3
13 Amazonas;2010;3;20;40;61;230;189;129;112;57;35;7
14 Roraima;2010;0;3;11;10;29;33;38;15;17;3;2
15 Pará;2010;14;126;314;352;911;916;713;619;388;177;45
16 Amapá;2010;0;6;11;12;45;36;30;25;14;5;4
17 Tocantins;2010;4;22;59;58;239;286;220;186;132;81;28
21 Maranhão;2010;16;148;303;348;906;919;713;740;458;258;79
22 Piauí;2010;8;34;94;107;253;331;291;306;268;116;58
23 Ceará;2010;8;28;98;116;278;356;476;454;344;207;111
24 Rio Grande do Norte;2010;0;4;5;17;39;45;75;51;49;26;1
25 Paraíba;2010;4;18;21;52;120;150;101;135;95;42;23
26 Pernambuco;2010;21;105;180;142;532;618;534;553;328;187;80
27 Alagoas;2010;1;7;18;30;96;107;82;73;37;23;5
28 Sergipe;2010;2;8;24;20;75;96;80;92;50;36;11
29 Bahia;2010;10;49;159;183;543;633;553;502;350;203;54
31 Minas Gerais;2010;5;23;37;62;204;319;338;391;253;136;42
32 Espírito Santo;2010;4;29;50;55;158;194;170;229;136;81;18
33 Rio de Janeiro;2010;16;44;72;62;298;334;377;440;309;143;58
35 São Paulo;2010;5;21;46;71;306;397;396;459;347;164;35
41 Paraná;2010;1;7;16;32;121;187;294;328;200;88;29
42 Santa Catarina;2010;0;2;0;10;31;35;47;65;30;18;4
43 Rio Grande do Sul;2010;0;1;3;6;16;19;33;43;33;23;3
50 Mato Grosso do Sul;2010;3;6;13;10;83;137;183;174;109;64;39
51 Mato Grosso;2010;7;55;106;101;504;663;631;631;268;138;45
52 Goiás;2010;7;40;87;127;400;595;582;610;353;160;34
53 Distrito Federal;2010;0;4;6;22;75;60;56;60;36;15;5
11 Rondônia;2011;1;15;32;46;164;220;244;148;83;32;12
12 Acre;2011;0;7;15;26;66;39;41;35;22;8;1
13 Amazonas;2011;1;19;41;57;145;147;121;125;61;31;8
14 Roraima;2011;0;1;6;9;26;31;23;19;17;8;1
15 Pará;2011;10;121;324;334;882;1001;761;648;364;193;48
16 Amapá;2011;2;6;17;20;45;48;34;30;17;8;1
17 Tocantins;2011;3;32;55;55;196;245;208;221;126;80;33
21 Maranhão;2011;17;143;277;298;811;786;712;740;504;297;105
22 Piauí;2011;7;30;49;94;187;244;251;247;188;103;46
23 Ceará;2011;2;33;81;95;227;344;459;487;302;177;85
24 Rio Grande do Norte;2011;0;4;7;10;34;41;82;63;35;20;6
25 Paraíba;2011;2;24;33;28;159;173;124;118;102;75;25
26 Pernambuco;2011;21;120;186;158;464;633;513;502;351;189;62
27 Alagoas;2011;1;12;14;32;78;85;78;75;51;17;5
28 Sergipe;2011;2;3;27;18;97;91;76;79;78;28;17
29 Bahia;2011;11;63;157;153;461;613;576;591;380;162;70
31 Minas Gerais;2011;2;23;40;45;199;311;325;370;272;132;57
32 Espírito Santo;2011;3;26;48;52;178;216;170;240;113;63;23
33 Rio de Janeiro;2011;6;32;65;71;264;390;389;414;280;150;40
35 São Paulo;2011;4;18;45;72;262;361;381;482;335;180;52
41 Paraná;2011;0;3;8;29;103;171;258;309;201;116;28
42 Santa Catarina;2011;0;2;8;6;40;39;50;69;39;20;4
43 Rio Grande do Sul;2011;0;1;2;1;11;19;39;55;39;22;4
50 Mato Grosso do Sul;2011;1;7;22;30;116;169;196;202;137;68;13
51 Mato Grosso;2011;10;47;135;121;431;656;688;646;346;160;44
52 Goiás;2011;2;41;73;123;375;557;534;520;335;129;39
53 Distrito Federal;2011;1;4;13;12;61;64;60;44;25;17;5
11 Rondônia;2012;2;10;41;43;172;228;177;165;75;32;5
12 Acre;2012;0;4;8;11;57;46;37;22;13;5;2
13 Amazonas;2012;4;20;44;50;154;178;139;109;75;44;6
14 Roraima;2012;0;6;9;8;34;29;32;41;15;8;1
15 Pará;2012;9;111;309;311;890;906;747;696;430;219;77
16 Amapá;2012;0;5;11;9;51;32;45;26;15;8;2
17 Tocantins;2012;6;29;60;44;190;241;205;208;136;81;22
21 Maranhão;2012;15;149;267;280;791;742;830;710;496;363;120
22 Piauí;2012;5;39;68;76;147;237;234;235;188;106;40
23 Ceará;2012;5;29;101;89;237;387;470;438;376;212;82
24 Rio Grande do Norte;2012;0;5;14;5;39;55;65;92;50;33;9
25 Paraíba;2012;3;10;39;27;134;124;160;141;106;65;28
26 Pernambuco;2012;18;110;171;146;362;589;574;537;388;166;73
27 Alagoas;2012;0;9;19;30;91;97;100;87;64;24;9
28 Sergipe;2012;2;14;21;29;71;121;102;97;66;29;10
29 Bahia;2012;8;60;146;158;411;623;526;524;351;183;75
31 Minas Gerais;2012;1;29;34;59;144;288;328;356;274;148;44
32 Espírito Santo;2012;2;13;31;39;133;175;146;148;92;79;17
33 Rio de Janeiro;2012;10;45;56;53;237;343;320;357;281;109;27
35 São Paulo;2012;4;18;39;68;255;348;406;463;329;157;46
41 Paraná;2012;0;8;11;32;110;146;218;310;227;101;24
42 Santa Catarina;2012;0;4;0;4;33;44;42;69;43;18;6
43 Rio Grande do Sul;2012;0;1;0;1;16;19;37;60;45;15;4
50 Mato Grosso do Sul;2012;2;20;19;15;107;177;232;253;161;71;22
51 Mato Grosso;2012;6;39;115;115;404;667;706;671;353;144;36
52 Goiás;2012;0;27;61;91;328;563;560;533;324;140;41
53 Distrito Federal;2012;0;1;7;16;75;77;64;47;34;17;6
11 Rondônia;2013;2;19;45;50;114;197;191;136;92;25;9
12 Acre;2013;0;2;9;13;26;29;44;17;10;7;1
13 Amazonas;2013;4;21;64;63;115;179;129;114;105;36;9
14 Roraima;2013;0;5;9;8;23;30;35;23;20;7;3
15 Pará;2013;12;153;355;243;658;794;635;593;393;185;63
16 Amapá;2013;0;1;5;12;45;37;29;17;20;10;2
17 Tocantins;2013;5;33;55;66;146;217;170;205;132;67;17
21 Maranhão;2013;10;147;257;265;795;841;736;738;533;344;107
22 Piauí;2013;2;21;58;57;177;196;228;245;173;101;42
23 Ceará;2013;4;40;100;96;217;359;445;425;409;245;79
24 Rio Grande do Norte;2013;0;8;18;8;33;50;56;50;63;25;12
25 Paraíba;2013;3;13;26;44;96;128;147;125;106;62;20
26 Pernambuco;2013;24;113;183;177;385;606;545;542;356;189;54
27 Alagoas;2013;0;12;14;17;53;88;73;82;52;25;4
28 Sergipe;2013;1;12;22;17;60;70;89;70;59;42;14
29 Bahia;2013;13;50;130;131;337;513;496;476;328;190;73
31 Minas Gerais;2013;6;18;32;35;124;218;283;326;252;129;43
32 Espírito Santo;2013;2;20;40;41;114;172;136;144;82;55;17
33 Rio de Janeiro;2013;7;30;33;48;179;284;257;338;249;94;31
35 São Paulo;2013;2;10;38;70;246;321;344;424;306;155;51
41 Paraná;2013;5;6;6;23;75;157;205;271;193;115;26
42 Santa Catarina;2013;0;1;3;3;9;35;38;46;43;14;3
43 Rio Grande do Sul;2013;0;2;0;0;14;16;25;67;34;26;4
50 Mato Grosso do Sul;2013;4;13;22;28;100;167;190;225;144;79;19
51 Mato Grosso;2013;2;59;151;153;416;702;734;718;405;163;46
52 Goiás;2013;8;33;86;79;264;495;476;445;298;134;31
53 Distrito Federal;2013;1;3;9;12;42;62;60;57;43;22;4
11 Rondônia;2014;2;6;37;54;107;177;159;141;91;33;10
12 Acre;2014;0;3;7;4;43;35;22;21;13;7;0
13 Amazonas;2014;3;11;64;50;105;150;131;118;52;28;8
14 Roraima;2014;0;1;7;4;19;22;17;15;4;6;2
15 Pará;2014;3;148;317;307;642;778;694;600;352;184;63
16 Amapá;2014;3;1;13;10;36;35;32;35;22;4;1
17 Tocantins;2014;5;28;75;70;157;246;251;194;140;60;23
21 Maranhão;2014;14;120;270;253;662;815;677;695;543;339;95
22 Piauí;2014;5;27;57;82;174;239;217;241;183;98;42
23 Ceará;2014;7;48;89;93;208;355;454;451;376;203;85
24 Rio Grande do Norte;2014;2;5;11;13;21;47;56;58;57;41;9
25 Paraíba;2014;3;10;19;36;86;120;139;126;104;54;21
26 Pernambuco;2014;20;103;175;159;383;580;561;520;366;208;64
27 Alagoas;2014;1;9;24;21;57;76;62;69;55;23;8
28 Sergipe;2014;1;5;23;21;62;81;77;87;60;46;21
29 Bahia;2014;7;77;144;136;359;636;540;579;402;216;88
31 Minas Gerais;2014;6;8;48;45;127;221;270;325;251;102;34
32 Espírito Santo;2014;3;13;26;40;87;123;123;144;105;46;10
33 Rio de Janeiro;2014;4;27;39;44;158;246;251;274;225;123;41
35 São Paulo;2014;0;7;32;57;207;305;347;432;319;145;52
41 Paraná;2014;0;2;11;15;65;141;161;238;177;96;21
42 Santa Catarina;2014;1;0;5;5;21;39;36;44;24;17;4
43 Rio Grande do Sul;2014;0;3;1;2;15;16;35;41;51;16;8
50 Mato Grosso do Sul;2014;1;28;34;42;109;194;265;283;196;99;34
51 Mato Grosso;2014;4;84;149;150;470;694;824;783;416;196;42
52 Goiás;2014;3;30;61;74;247;502;458;435;303;129;44
53 Distrito Federal;2014;2;9;24;15;60;118;96;84;41;23;2
11 Rondônia;2015;0;10;29;37;89;142;153;129;76;25;5
12 Acre;2015;0;4;11;5;24;39;30;17;8;5;0
13 Amazonas;2015;1;28;37;43;96;118;130;91;65;29;9
14 Roraima;2015;0;0;1;4;11;32;17;26;16;3;5
15 Pará;2015;3;103;276;256;563;809;609;560;401;194;58
16 Amapá;2015;1;5;12;4;21;31;32;22;17;4;6
17 Tocantins;2015;4;29;56;55;117;231;160;189;137;74;17
21 Maranhão;2015;11;140;272;273;607;795;663;701;554;293;126
22 Piauí;2015;4;24;52;51;133;223;225;260;194;109;46
23 Ceará;2015;3;43;64;84;199;291;415;421;351;187;99
24 Rio Grande do Norte;2015;0;11;26;10;27;35;52;60;47;28;11
25 Paraíba;2015;0;13;16;23;59;104;130;135;89;55;21
26 Pernambuco;2015;11;102;154;150;315;514;534;505;352;175;44
27 Alagoas;2015;1;10;17;21;51;73;79;86;57;24;10
28 Sergipe;2015;0;6;20;21;56;79;85;82;54;37;10
29 Bahia;2015;9;71;160;152;334;569;551;521;417;204;82
31 Minas Gerais;2015;3;11;37;39;95;250;238;310;234;118;36
32 Espírito Santo;2015;2;15;25;35;92;124;100;143;120;41;12
33 Rio de Janeiro;2015;4;20;31;38;142;260;233;267;227;127;34
