UF de notificação;Ano;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais
53 Distrito Federal;2007;0;21;31;28;175;238;151;171;64;52;5
11 Rondônia;2008;0;69;198;211;576;574;580;336;188;28;28
12 Acre;2008;14;48;111;98;293;262;170;109;116;12;10
13 Amazonas;2008;4;54;69;172;315;401;257;132;88;53;25
14 Roraima;2008;0;14;78;33;98;95;105;108;45;10;0
15 Pará;2008;26;527;1146;1068;2828;2540;1928;1653;1072;407;111
16 Amapá;2008;0;38;17;38;74;60;83;36;45;17;2
17 Tocantins;2008;21;183;376;367;931;885;661;691;326;151;61
21 Maranhão;2008;60;359;729;1047;2043;2059;1743;1546;1044;467;208
22 Piauí;2008;16;144;357;338;769;812;798;781;619;341;87
23 Ceará;2008;7;195;297;380;1004;1212;1288;1322;793;551;302
24 Rio Grande do Norte;2008;0;7;37;11;56;73;107;74;70;29;14
25 Paraíba;2008;23;19;105;98;269;266;280;225;180;120;47
26 Pernambuco;2008;74;318;512;417;1656;1779;1213;1277;837;434;106
27 Alagoas;2008;1;37;44;54;211;207;176;154;200;63;16
28 Sergipe;2008;2;46;107;66;305;262;235;326;147;172;47
29 Bahia;2008;22;167;318;392;1071;1024;1243;940;606;285;157
31 Minas Gerais;2008;12;61;158;206;664;1014;1029;1330;878;397;187
32 Espírito Santo;2008;10;105;265;219;624;691;621;747;358;199;67
33 Rio de Janeiro;2008;46;121;145;186;715;896;820;1019;599;371;80
35 São Paulo;2008;8;85;197;212;862;1252;1564;1315;866;544;122
41 Paraná;2008;0;26;77;126;396;626;921;1080;483;245;76
42 Santa Catarina;2008;4;12;0;4;67;104;136;175;99;46;22
43 Rio Grande do Sul;2008;0;0;1;15;45;43;103;173;82;40;12
50 Mato Grosso do Sul;2008;7;65;57;75;242;372;416;318;255;142;27
51 Mato Grosso;2008;47;224;368;396;1265;1563;1438;1185;631;243;70
52 Goiás;2008;16;148;294;330;1103;1549;1372;1137;622;335;117
53 Distrito Federal;2008;0;20;69;56;188;245;147;97;42;36;2
11 Rondônia;2009;6;91;174;159;460;608;611;407;210;143;25
12 Acre;2009;0;25;48;18;173;179;154;103;20;25;4
13 Amazonas;2009;0;56;149;168;394;330;290;266;137;54;47
14 Roraima;2009;7;17;45;48;97;95;80;48;48;15;0
15 Pará;2009;19;458;1203;1036;2467;2363;1878;1536;840;412;134
16 Amapá;2009;0;11;37;42;114;113;94;61;29;13;3
17 Tocantins;2009;17;171;218;234;670;754;588;717;346;208;86
21 Maranhão;2009;34;344;838;716;2175;1701;1495;1307;957;744;195
22 Piauí;2009;14;79;217;260;631;695;734;689;459;251;156
23 Ceará;2009;27;118;294;264;857;1254;1232;1077;876;530;331
24 Rio Grande do Norte;2009;0;16;25;46;65;125;142;138;95;75;5
25 Paraíba;2009;3;30;93;75;215;283;324;277;158;86;51
26 Pernambuco;2009;39;343;713;517;1887;1786;1513;1491;981;429;173
27 Alagoas;2009;7;24;95;71;272;257;131;150;90;49;13
28 Sergipe;2009;0;46;96;135;391;313;267;354;165;150;50
29 Bahia;2009;14;207;395;472;1168;1269;1158;1022;718;388;142
31 Minas Gerais;2009;5;81;208;347;1464;1488;1203;1401;805;344;157
32 Espírito Santo;2009;34;99;173;234;490;699;538;701;481;214;116
33 Rio de Janeiro;2009;30;211;161;158;745;949;808;1082;759;430;97
35 São Paulo;2009;15;133;268;200;768;1226;1339;1370;1090;507;159
41 Paraná;2009;4;15;40;97;353;586;835;843;473;298;88
42 Santa Catarina;2009;0;0;11;25;48;137;145;121;85;38;0
43 Rio Grande do Sul;2009;0;32;2;11;32;44;97;124;118;25;2
50 Mato Grosso do Sul;2009;16;44;52;62;352;325;388;347;312;161;36
51 Mato Grosso;2009;24;153;298;386;1329;1611;1671;1136;680;265;61
52 Goiás;2009;13;104;234;343;1111;1764;1440;1217;682;513;161
53 Distrito Federal;2009;0;5;27;86;163;191;171;116;93;29;2
11 Rondônia;2010;4;31;110;159;500;558;484;355;189;106;44
12 Acre;2010;0;46;43;28;111;167;100;65;43;33;59
13 Amazonas;2010;8;49;96;137;458;376;281;177;80;72;16
14 Roraima;2010;0;5;43;26;81;60;113;24;45;4;1
15 Pará;2010;52;400;1003;1119;2347;2289;1719;1315;874;421;119
16 Amapá;2010;0;17;44;28;120;107;80;43;23;11;17
17 Tocantins;2010;18;90;251;182;641;800;650;471;412;202;74
21 Maranhão;2010;37;393;722;998;2107;2185;1615;1603;1000;565;164
22 Piauí;2010;22;110;268;281;665;807;695;676;602;285;169
23 Ceará;2010;21;72;317;353;688;948;1136;1166;871;508;330
24 Rio Grande do Norte;2010;0;7;11;27;53;148;146;87;108;42;0
25 Paraíba;2010;11;50;81;97;204;280;186;289;141;72;31
26 Pernambuco;2010;59;312;574;429;1724;1602;1392;1330;887;455;214
27 Alagoas;2010;4;18;54;61;184;276;195;190;69;35;5
28 Sergipe;2010;6;25;119;66;233;283;282;321;184;155;35
29 Bahia;2010;24;152;456;385;1225;1362;1168;1079;832;463;109
31 Minas Gerais;2010;20;73;120;169;510;884;881;979;621;302;155
32 Espírito Santo;2010;9;124;207;195;464;610;555;726;433;249;86
33 Rio de Janeiro;2010;67;167;270;163;739;969;936;1001;858;366;160
35 São Paulo;2010;14;60;183;218;744;1210;1002;1342;914;430;86
41 Paraná;2010;2;23;36;102;313;503;772;807;504;253;56
42 Santa Catarina;2010;0;3;0;21;72;84;126;189;72;56;17
43 Rio Grande do Sul;2010;0;5;24;9;32;39;76;92;53;48;3
50 Mato Grosso do Sul;2010;12;25;67;28;358;401;537;577;600;412;379
51 Mato Grosso;2010;14;198;295;275;1203;1635;1420;1335;604;298;102
52 Goiás;2010;20;125;264;293;853;1394;1280;1251;787;301;67
53 Distrito Federal;2010;0;19;25;26;196;151;109;174;76;19;15
11 Rondônia;2011;2;29;93;122;357;625;599;383;183;71;25
12 Acre;2011;0;20;46;77;178;76;94;83;45;10;0
13 Amazonas;2011;5;55;130;155;307;364;297;272;149;71;16
14 Roraima;2011;0;2;15;43;34;51;35;28;35;23;0
15 Pará;2011;24;395;1051;993;2320;2873;1828;1632;864;525;151
16 Amapá;2011;0;4;55;62;147;124;106;90;61;23;7
17 Tocantins;2011;7;124;272;191;578;737;588;541;363;218;95
21 Maranhão;2011;33;380;727;773;1863;1880;1687;1721;1167;671;263
22 Piauí;2011;13;87;180;289;498;551;593;566;500;244;106
23 Ceará;2011;1;104;248;283;504;954;1210;1251;786;510;249
24 Rio Grande do Norte;2011;0;10;3;18;66;92;144;143;64;47;5
25 Paraíba;2011;4;56;85;74;334;372;246;205;216;118;59
26 Pernambuco;2011;81;359;669;442;1246;1737;1209;1210;919;502;178
27 Alagoas;2011;0;30;42;51;176;251;174;213;107;48;10
28 Sergipe;2011;10;3;142;74;368;269;228;259;235;91;48
29 Bahia;2011;10;152;463;397;1053;1294;1187;1183;841;353;164
31 Minas Gerais;2011;4;93;101;154;601;917;888;947;713;312;139
32 Espírito Santo;2011;9;98;174;163;505;691;577;657;353;191;111
33 Rio de Janeiro;2011;13;128;243;261;573;879;894;960;614;365;121
35 São Paulo;2011;22;68;130;283;681;895;983;1241;876;482;219
41 Paraná;2011;0;6;37;108;274;482;713;773;513;249;89
42 Santa Catarina;2011;0;5;27;27;81;94;115;164;101;59;13
43 Rio Grande do Sul;2011;0;0;13;3;18;39;77;112;50;34;3
50 Mato Grosso do Sul;2011;6;20;90;102;311;505;467;489;393;201;62
51 Mato Grosso;2011;19;160;397;358;1003;1632;1588;1350;666;312;95
52 Goiás;2011;8;129;190;324;891;1338;1265;1078;978;274;181
53 Distrito Federal;2011;2;10;30;31;143;119;144;108;50;47;20
11 Rondônia;2012;8;42;138;107;408;460;454;335;167;91;13
12 Acre;2012;0;23;28;37;155;106;108;43;30;24;5
13 Amazonas;2012;3;112;187;137;351;445;368;250;198;108;22
14 Roraima;2012;0;16;33;40;62;51;56;75;48;6;4
15 Pará;2012;16;318;1132;961;2262;2313;1853;1719;993;549;199
16 Amapá;2012;0;2;36;12;97;92;111;75;42;21;0
17 Tocantins;2012;13;95;239;125;534;646;484;477;285;215;64
21 Maranhão;2012;36;462;729;745;1777;1731;1907;1634;1067;900;334
22 Piauí;2012;5;140;226;258;361;581;577;521;439;273;95
23 Ceará;2012;9;109;300;281;666;1021;1263;1145;1072;534;219
24 Rio Grande do Norte;2012;0;3;35;13;60;109;139;171;101;59;23
25 Paraíba;2012;10;39;97;57;328;290;365;299;270;120;50
26 Pernambuco;2012;45;370;532;391;1049;1638;1470;1453;1017;441;224
27 Alagoas;2012;0;34;58;87;213;206;273;216;133;80;29
28 Sergipe;2012;19;70;68;135;267;440;331;321;232;90;35
29 Bahia;2012;11;170;407;392;894;1341;1105;1234;835;395;179
31 Minas Gerais;2012;12;77;111;179;409;842;904;860;720;450;147
32 Espírito Santo;2012;6;31;102;109;413;527;450;388;284;304;49
33 Rio de Janeiro;2012;19;166;204;163;607;834;798;877;661;276;78
35 São Paulo;2012;18;82;128;180;681;906;1016;1303;774;417;103
41 Paraná;2012;0;26;43;100;278;388;740;718;485;234;119
42 Santa Catarina;2012;0;7;0;8;103;119;108;176;138;60;19
43 Rio Grande do Sul;2012;0;0;0;4;18;40;104;98;65;28;9
50 Mato Grosso do Sul;2012;8;75;66;42;275;491;592;546;370;160;48
51 Mato Grosso;2012;19;128;338;307;915;1574;1547;1362;639;275;44
52 Goiás;2012;0;95;212;238;957;1331;1173;1154;696;345;89
53 Distrito Federal;2012;0;0;25;35;179;175;175;115;60;45;9
11 Rondônia;2013;9;50;107;123;240;504;428;313;228;67;33
12 Acre;2013;0;5;34;58;66;70;107;31;10;11;0
13 Amazonas;2013;14;89;244;248;293;545;351;325;244;144;43
14 Roraima;2013;0;8;25;19;36;22;58;19;43;18;1
15 Pará;2013;30;535;1232;731;1731;2010;1646;1376;972;497;182
16 Amapá;2013;0;4;14;50;132;120;78;47;44;24;5
17 Tocantins;2013;30;96;243;212;374;666;436;438;422;191;25
21 Maranhão;2013;24;511;796;738;1853;2122;1708;1796;1296;791;287
22 Piauí;2013;5;84;157;182;434;493;529;577;350;250;90
23 Ceará;2013;9;102;334;248;509;926;1177;1011;1080;719;247
24 Rio Grande do Norte;2013;0;16;40;24;56;82;99;119;100;45;31
25 Paraíba;2013;10;33;55;106;247;274;314;285;189;106;40
26 Pernambuco;2013;93;380;638;582;1295;1666;1437;1482;892;526;205
27 Alagoas;2013;0;38;45;59;147;217;203;190;132;74;6
28 Sergipe;2013;6;35;91;87;189;246;263;299;194;176;63
29 Bahia;2013;34;144;384;331;750;1135;1112;997;718;489;159
31 Minas Gerais;2013;18;47;113;113;300;561;781;882;674;356;97
32 Espírito Santo;2013;13;86;164;135;316;553;367;377;265;253;82
33 Rio de Janeiro;2013;20;96;149;160;535;723;541;810;507;256;72
35 São Paulo;2013;12;20;129;224;559;889;888;1116;785;399;129
41 Paraná;2013;14;18;27;82;217;410;527;692;455;321;75
42 Santa Catarina;2013;0;0;11;2;13;76;83;118;93;17;11
43 Rio Grande do Sul;2013;0;3;0;0;14;33;39;115;50;91;7
50 Mato Grosso do Sul;2013;13;54;102;71;265;502;484;532;296;244;80
51 Mato Grosso;2013;5;230;468;467;1027;1728;1651;1373;819;299;100
52 Goiás;2013;26;142;288;214;666;1191;1084;935;623;282;70
53 Distrito Federal;2013;2;6;26;24;106;144;140;140;87;60;5
11 Rondônia;2014;4;20;93;138;262;477;403;324;280;177;15
12 Acre;2014;0;15;24;14;129;107;84;46;43;12;0
13 Amazonas;2014;5;27;250;166;305;419;340;340;127;58;31
14 Roraima;2014;0;0;16;19;51;59;53;22;8;10;0
15 Pará;2014;6;519;1061;922;1643;2099;1721;1461;924;472;169
16 Amapá;2014;8;4;21;22;87;67;73;101;34;10;0
17 Tocantins;2014;13;91;253;195;410;667;625;485;288;182;50
21 Maranhão;2014;47;400;885;772;1608;2016;1692;1785;1409;868;247
22 Piauí;2014;17;98;190;220;477;620;505;543;440;283;106
23 Ceará;2014;22;163;225;305;503;795;1177;1139;956;627;288
24 Rio Grande do Norte;2014;9;9;22;25;41;104;132;113;99;99;17
25 Paraíba;2014;0;33;33;91;146;160;252;166;183;52;20
26 Pernambuco;2014;61;336;556;483;1172;1595;1633;1379;975;600;215
27 Alagoas;2014;0;24;89;63;116;243;160;142;138;34;34
28 Sergipe;2014;3;18;93;90;219;276;329;316;167;140;83
29 Bahia;2014;19;252;486;385;777;1534;1243;1235;758;471;238
31 Minas Gerais;2014;18;35;145;176;398;630;776;893;602;295;162
32 Espírito Santo;2014;16;64;91;172;247;361;358;417;304;128;32
33 Rio de Janeiro;2014;21;69;150;123;486;562;547;581;460;268;120
35 São Paulo;2014;0;29;159;226;519;887;906;1203;849;347;131
41 Paraná;2014;0;5;28;71;161;396;468;610;387;269;51
42 Santa Catarina;2014;0;0;10;10;50;83;93;101;52;29;7
43 Rio Grande do Sul;2014;0;3;3;5;22;33;60;61;83;30;19
50 Mato Grosso do Sul;2014;8;90;106;147;273;572;584;658;382;213;118
51 Mato Grosso;2014;18;233;491;407;1134;1625;1811;1641;949;442;413
52 Goiás;2014;5;116;224;243;632;1292;1231;963;616;346;96
53 Distrito Federal;2014;2;18;61;32;123;261;193;164;123;62;0
11 Rondônia;2015;0;30;97;107;246;385;372;264;170;66;21
12 Acre;2015;0;14;39;23;61;101;94;37;30;71;0
13 Amazonas;2015;2;112;163;129;278;365;438;261;199;77;22
14 Roraima;2015;0;0;5;11;11;58;37;52;25;14;21
15 Pará;2015;9;320;811;772;1343;2017;1396;1262;858;433;178
16 Amapá;2015;0;14;17;7;39;64;63;62;39;3;22
17 Tocantins;2015;7;113;339;170;415;950;485;494;533;199;34
21 Maranhão;2015;29;469;926;774;1608;2193;1713;1762;1358;756;300
22 Piauí;2015;9;78;158;186;347;584;537;724;485;339;152
