UF de notificação;Ano;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais
14 Roraima;2005;0;0;78;174;103;340;200;420;370;298;16;20
15 Pará;2005;83;65;636;1428;2284;5803;4182;3922;3327;1880;1103;381
16 Amapá;2005;0;0;23;31;174;221;209;174;231;88;43;59
17 Tocantins;2005;2;22;114;200;360;1141;1086;1188;683;851;450;98
21 Maranhão;2005;4;68;739;1645;2155;5231;3681;3385;3385;2513;1562;874
22 Piauí;2005;43;18;241;271;553;1498;1290;1708;1399;1189;686;290
23 Ceará;2005;1;37;256;539;625;2074;2231;3188;2792;2181;1524;629
24 Rio Grande do Norte;2005;2;19;21;51;86;219;247;226;229;247;119;75
25 Paraíba;2005;1;7;106;178;355;813;518;538;630;499;454;224
26 Pernambuco;2005;9;72;460;642;718;2635;2592;2243;2116;1553;838;455
27 Alagoas;2005;0;0;19;113;189;473;428;412;386;287;220;77
28 Sergipe;2005;0;2;43;172;221;743;484;515;667;404;213;84
29 Bahia;2005;77;91;245;674;849;3108;3025;3288;2285;1882;1101;432
31 Minas Gerais;2005;9;20;181;385;550;2059;2795;3946;3653;2394;1475;417
32 Espírito Santo;2005;0;5;65;242;235;1053;927;1120;907;668;369;207
33 Rio de Janeiro;2005;0;31;183;327;775;3458;2763;3123;2970;2127;1378;494
35 São Paulo;2005;0;5;114;176;565;2550;2576;3579;3387;2259;1350;485
41 Paraná;2005;0;18;46;152;321;1297;2342;3153;2900;2311;1042;331
42 Santa Catarina;2005;0;0;19;16;18;284;311;609;479;237;77;124
43 Rio Grande do Sul;2005;5;1;8;3;26;158;367;483;880;456;279;43
50 Mato Grosso do Sul;2005;0;4;13;50;71;377;418;645;509;308;218;10
51 Mato Grosso;2005;5;12;168;465;626;2322;2555;2881;2236;1295;776;125
52 Goiás;2005;19;33;113;403;652;3805;4230;4294;3694;2264;1175;419
53 Distrito Federal;2005;0;0;4;48;137;546;410;413;292;206;72;28
11 Rondônia;2006;1;1;102;132;381;904;976;996;807;417;235;45
12 Acre;2006;0;1;84;135;265;766;540;395;534;197;62;26
13 Amazonas;2006;2;0;100;239;271;867;675;570;590;342;151;88
14 Roraima;2006;0;0;36;108;152;435;283;249;358;234;83;0
15 Pará;2006;13;51;554;1309;1866;5152;4295;3721;2908;2107;1191;342
16 Amapá;2006;1;0;4;41;46;227;151;119;153;110;20;4
17 Tocantins;2006;0;9;85;339;353;1456;1213;1256;1025;716;290;152
21 Maranhão;2006;0;32;658;1473;1771;5212;3544;3553;3814;2677;1872;753
22 Piauí;2006;91;9;206;326;419;1297;1261;1561;1443;1459;583;354
23 Ceará;2006;2;6;161;452;638;2103;2645;2607;3244;2658;1753;770
24 Rio Grande do Norte;2006;0;8;31;53;36;241;150;157;374;156;90;90
25 Paraíba;2006;1;2;58;166;303;664;521;879;794;627;389;343
26 Pernambuco;2006;2;99;356;525;911;3150;2567;2591;2587;1721;959;324
27 Alagoas;2006;0;2;24;58;165;491;418;420;506;287;163;83
28 Sergipe;2006;0;8;56;78;197;620;509;400;673;357;123;99
29 Bahia;2006;23;30;253;530;914;2881;3063;3015;2734;1866;1317;323
31 Minas Gerais;2006;2;18;142;268;522;1972;2442;2974;3295;2512;1252;489
32 Espírito Santo;2006;0;17;30;139;192;776;729;833;975;696;371;113
33 Rio de Janeiro;2006;0;49;261;272;767;3116;2787;3010;3668;2622;1311;364
35 São Paulo;2006;0;20;44;148;419;2369;2081;3529;2940;2476;1378;353
41 Paraná;2006;0;3;20;160;377;1358;2087;3627;3246;2840;1441;278
42 Santa Catarina;2006;0;0;0;5;62;142;328;322;443;197;205;30
43 Rio Grande do Sul;2006;0;0;0;1;51;132;184;394;612;445;203;75
50 Mato Grosso do Sul;2006;2;0;61;71;77;441;388;636;609;364;263;38
51 Mato Grosso;2006;3;33;166;357;528;2142;2371;2719;2287;1338;565;156
52 Goiás;2006;0;44;258;438;650;3600;3680;3660;3769;2048;1131;337
53 Distrito Federal;2006;0;0;22;60;91;477;412;369;309;196;181;58
11 Rondônia;2007;1;59;258;191;947;755;1194;731;373;126;41
12 Acre;2007;20;67;45;72;798;307;217;259;214;35;37
13 Amazonas;2007;5;119;125;214;799;692;641;445;316;116;42
14 Roraima;2007;0;46;184;104;278;328;444;219;175;46;90
15 Pará;2007;18;601;1120;1769;5235;3815;3680;3786;2561;1336;285
16 Amapá;2007;0;22;76;70;266;196;134;71;137;41;52
17 Tocantins;2007;4;109;294;428;962;997;1181;1069;655;367;186
21 Maranhão;2007;57;538;1360;1503;4942;3758;3777;4133;2977;1889;817
22 Piauí;2007;42;146;275;380;1324;1316;1236;1814;1279;557;266
23 Ceará;2007;34;332;503;572;1925;2747;2872;3372;2867;1727;941
24 Rio Grande do Norte;2007;4;38;92;45;230;320;384;362;312;153;100
25 Paraíba;2007;1;78;120;234;579;516;818;648;837;457;246
26 Pernambuco;2007;93;575;645;1067;3205;3838;2322;2938;2391;1317;539
27 Alagoas;2007;0;29;100;150;639;411;484;304;218;227;63
28 Sergipe;2007;69;70;122;135;528;572;639;645;372;154;82
29 Bahia;2007;33;245;687;926;2810;2917;2719;2758;1889;1295;618
31 Minas Gerais;2007;1;114;262;410;1781;2714;3323;3430;2348;1497;595
32 Espírito Santo;2007;26;46;153;422;785;929;780;1071;493;375;89
33 Rio de Janeiro;2007;40;205;342;563;3011;2723;2745;3187;2562;1475;405
35 São Paulo;2007;18;83;304;287;2213;2428;3225;4016;2543;1433;442
41 Paraná;2007;4;6;88;229;1059;1949;2932;3497;2567;1187;323
42 Santa Catarina;2007;2;0;54;53;325;352;540;624;332;72;170
43 Rio Grande do Sul;2007;0;0;14;10;171;81;457;722;491;213;56
50 Mato Grosso do Sul;2007;0;6;65;94;370;496;688;632;404;428;115
51 Mato Grosso;2007;34;122;400;360;2251;2534;3222;2319;1422;843;150
52 Goiás;2007;14;176;365;528;2776;3558;4059;3848;2367;1252;510
53 Distrito Federal;2007;0;18;30;67;465;461;412;344;298;146;1
11 Rondônia;2008;0;66;224;198;790;796;952;618;444;164;109
12 Acre;2008;9;70;85;130;546;478;450;366;149;63;20
13 Amazonas;2008;7;72;133;311;1019;1117;745;725;408;172;63
14 Roraima;2008;0;21;114;41;352;155;369;355;380;137;2
15 Pará;2008;31;524;1677;1527;4995;4298;4609;3615;2667;1045;296
16 Amapá;2008;0;149;74;435;436;647;690;293;217;147;10
17 Tocantins;2008;6;159;387;507;1407;1292;1183;1272;847;334;165
21 Maranhão;2008;124;539;1159;1961;5170;4760;3918;4501;3325;1905;999
22 Piauí;2008;44;163;448;526;1537;1465;1805;1701;1389;994;338
23 Ceará;2008;28;220;584;659;2766;3131;3563;4035;3587;2187;940
24 Rio Grande do Norte;2008;1;43;130;92;238;232;328;282;249;283;103
25 Paraíba;2008;16;61;162;151;571;619;842;642;720;450;180
26 Pernambuco;2008;106;408;787;867;3389;4035;3015;2784;2453;1253;277
27 Alagoas;2008;4;47;79;148;672;517;482;705;481;231;55
28 Sergipe;2008;7;116;200;63;722;733;397;639;352;318;74
29 Bahia;2008;40;229;545;880;3260;3587;3431;3394;2528;1487;402
31 Minas Gerais;2008;4;80;218;322;1730;2467;3102;3662;2323;1926;471
32 Espírito Santo;2008;23;67;169;233;763;788;1082;1149;664;335;92
33 Rio de Janeiro;2008;47;131;266;594;3264;3327;3505;3551;2305;1514;233
35 São Paulo;2008;8;77;229;353;2444;3707;4406;4032;3315;1890;599
41 Paraná;2008;0;12;161;201;1158;1953;3521;4571;2444;1396;395
42 Santa Catarina;2008;4;9;0;2;399;464;885;713;637;499;26
43 Rio Grande do Sul;2008;0;0;1;19;114;218;397;746;679;210;32
50 Mato Grosso do Sul;2008;11;47;32;101;607;635;738;849;608;461;112
51 Mato Grosso;2008;31;256;395;466;2086;2760;3103;2684;1691;977;184
52 Goiás;2008;24;187;279;631;2808;4471;4160;3453;2208;1295;323
53 Distrito Federal;2008;0;21;137;86;564;668;611;308;252;138;3
11 Rondônia;2009;2;139;227;184;678;945;870;818;568;303;75
12 Acre;2009;0;74;69;85;422;464;500;196;120;130;30
13 Amazonas;2009;0;45;151;291;1131;1052;783;874;398;164;111
14 Roraima;2009;50;18;126;129;424;233;315;275;219;78;0
15 Pará;2009;33;482;1750;1597;4486;4690;3683;3501;2251;961;362
16 Amapá;2009;0;114;88;103;656;661;513;428;101;161;13
17 Tocantins;2009;11;194;217;229;1206;1396;1289;1317;683;528;195
21 Maranhão;2009;45;474;1517;1614;4861;3942;3862;4118;2875;1958;589
22 Piauí;2009;20;101;327;521;1198;1538;1427;1605;1402;848;395
23 Ceará;2009;32;278;660;605;2544;2880;2895;3475;3172;1778;1274
24 Rio Grande do Norte;2009;0;19;20;62;98;225;220;400;219;201;37
25 Paraíba;2009;7;45;129;131;687;710;906;977;593;395;250
26 Pernambuco;2009;59;346;995;796;3246;3472;3687;3125;2553;1511;666
27 Alagoas;2009;3;41;155;120;525;561;321;368;286;193;52
28 Sergipe;2009;0;36;131;172;618;654;621;636;320;289;101
29 Bahia;2009;36;323;684;795;2935;3292;2939;3146;3178;1208;552
31 Minas Gerais;2009;3;107;265;418;1603;2560;2884;3163;2088;1044;268
32 Espírito Santo;2009;15;50;168;280;776;1020;777;1417;938;395;197
33 Rio de Janeiro;2009;21;165;301;415;2787;3335;2697;3733;2306;1336;378
35 São Paulo;2009;25;112;282;347;2206;3096;3847;3102;2754;1732;474
41 Paraná;2009;6;53;127;214;1180;1879;3180;3641;2707;1829;346
42 Santa Catarina;2009;0;0;1;52;158;591;865;369;112;353;26
43 Rio Grande do Sul;2009;0;12;0;18;104;161;507;494;442;286;115
50 Mato Grosso do Sul;2009;6;35;51;78;424;630;679;1021;686;327;86
51 Mato Grosso;2009;34;184;307;393;1993;2886;2748;2763;1583;647;168
52 Goiás;2009;17;69;292;478;2602;4201;3910;4038;2500;1513;374
53 Distrito Federal;2009;0;3;36;90;501;490;385;356;263;75;2
11 Rondônia;2010;5;27;94;212;741;820;660;709;436;190;85
12 Acre;2010;0;59;70;71;360;633;228;195;141;112;36
13 Amazonas;2010;5;98;180;225;1077;1021;683;611;223;260;48
14 Roraima;2010;0;11;203;52;178;319;504;87;181;32;35
15 Pará;2010;74;462;1097;1446;4124;4257;3777;3490;2010;1113;491
16 Amapá;2010;0;44;46;131;631;669;420;448;231;130;31
17 Tocantins;2010;6;54;283;194;1327;1237;1229;1277;715;550;188
21 Maranhão;2010;128;504;1529;1768;4658;5292;4152;3923;3033;1972;530
22 Piauí;2010;82;115;329;436;1240;2306;1450;1917;1662;791;536
23 Ceará;2010;22;68;338;523;1808;2421;3347;3030;2399;1954;1090
24 Rio Grande do Norte;2010;0;6;8;71;151;260;348;274;392;192;20
25 Paraíba;2010;6;45;70;210;671;724;538;764;582;322;183
26 Pernambuco;2010;52;254;580;642;2733;3812;3037;3509;2294;1650;775
27 Alagoas;2010;5;22;43;233;503;440;439;484;326;176;20
28 Sergipe;2010;4;41;80;67;458;645;608;565;396;221;85
29 Bahia;2010;52;198;744;998;3247;3552;2983;2998;2469;1626;484
31 Minas Gerais;2010;8;79;140;342;1378;2458;3410;3333;2313;1240;406
32 Espírito Santo;2010;6;84;147;265;606;837;727;1358;771;443;106
33 Rio de Janeiro;2010;50;110;274;441;2296;2394;3093;3333;2812;1332;517
35 São Paulo;2010;10;56;290;391;1885;2929;2600;3756;2977;1411;417
41 Paraná;2010;0;6;131;279;1145;1292;3242;3972;2370;1345;375
42 Santa Catarina;2010;0;2;0;56;298;517;597;740;349;187;90
43 Rio Grande do Sul;2010;0;0;12;31;123;176;223;411;486;306;50
50 Mato Grosso do Sul;2010;7;18;32;68;375;723;1019;701;600;400;313
51 Mato Grosso;2010;16;153;304;385;1979;3078;2996;2971;1658;740;397
52 Goiás;2010;26;78;377;605;2393;3848;3566;4318;2481;1057;306
53 Distrito Federal;2010;0;4;36;75;447;259;313;394;278;92;36
11 Rondônia;2011;6;51;145;102;617;747;969;698;495;137;96
12 Acre;2011;0;29;74;122;457;305;351;294;279;90;6
13 Amazonas;2011;1;75;319;308;733;836;729;773;461;260;75
14 Roraima;2011;0;2;66;50;148;264;352;203;124;117;30
15 Pará;2011;16;548;1362;1574;4859;5036;3889;3753;2607;1250;355
16 Amapá;2011;12;90;239;175;359;410;302;276;100;49;0
17 Tocantins;2011;2;167;223;181;974;1245;1332;1401;932;734;322
21 Maranhão;2011;71;515;1344;1438;4425;3985;4233;4331;3411;2064;810
22 Piauí;2011;15;74;336;583;1030;1261;1343;1737;1466;982;416
23 Ceará;2011;2;94;305;468;1503;2380;3033;3564;2219;1566;737
24 Rio Grande do Norte;2011;0;10;13;58;127;160;291;192;242;119;30
25 Paraíba;2011;7;115;95;228;886;868;752;651;744;568;177
26 Pernambuco;2011;59;394;763;568;2563;4034;2637;2922;2645;1547;476
27 Alagoas;2011;1;36;75;140;323;376;332;583;400;138;27
28 Sergipe;2011;3;6;176;61;396;607;381;448;643;228;152
29 Bahia;2011;39;153;815;704;3129;4613;3556;3911;2888;1210;567
31 Minas Gerais;2011;6;48;181;246;1556;3053;2503;3120;2071;1116;508
32 Espírito Santo;2011;9;70;132;150;795;1149;806;1485;793;409;178
33 Rio de Janeiro;2011;29;175;320;571;2405;3136;2792;3489;2529;1390;281
35 São Paulo;2011;26;63;273;436;2157;3114;3064;4331;2857;1610;601
41 Paraná;2011;0;31;28;300;1202;2166;3452;3931;2614;1692;249
42 Santa Catarina;2011;0;9;34;17;568;461;607;1008;389;205;40
43 Rio Grande do Sul;2011;0;1;0;5;98;76;280;781;436;175;18
50 Mato Grosso do Sul;2011;1;23;55;141;641;832;873;1302;586;386;83
51 Mato Grosso;2011;10;264;397;428;1633;2791;2898;3084;1735;884;300
52 Goiás;2011;4;170;311;650;2679;3603;3519;3670;2483;1152;430
53 Distrito Federal;2011;1;28;33;76;358;406;352;302;158;250;68
11 Rondônia;2012;2;20;161;135;731;821;765;1015;351;202;102
12 Acre;2012;0;16;54;56;399;308;269;223;86;73;21
13 Amazonas;2012;4;81;161;215;717;802;639;555;444;299;46
14 Roraima;2012;0;27;28;44;367;155;232;390;72;175;5
15 Pará;2012;16;488;1275;1333;4416;4972;3895;4348;2993;1534;617
16 Amapá;2012;0;33;56;35;270;137;201;169;98;35;10
17 Tocantins;2012;27;101;456;159;1277;1586;1743;1678;1066;730;196
21 Maranhão;2012;62;665;1261;1402;4308;4212;4585;4400;3510;3207;1087
22 Piauí;2012;15;206;328;510;1353;1365;1480;1854;1480;837;480
23 Ceará;2012;20;85;350;564;1407;2151;3449;2608;2661;1637;808
24 Rio Grande do Norte;2012;0;6;18;30;121;351;374;581;354;251;54
25 Paraíba;2012;31;31;152;103;665;666;897;685;584;372;186
26 Pernambuco;2012;81;437;866;570;1979;3616;3460;3198;2510;1203;691
27 Alagoas;2012;0;22;114;85;509;693;460;507;399;203;142
28 Sergipe;2012;4;33;71;129;328;906;498;491;493;132;132
29 Bahia;2012;30;258;719;900;2587;4210;3621;3407;2333;1783;610
31 Minas Gerais;2012;1;84;126;234;988;2095;2758;3035;2512;1420;343
32 Espírito Santo;2012;2;24;98;109;586;859;930;723;790;416;71
33 Rio de Janeiro;2012;31;178;210;525;2115;3098;2572;2611;1847;875;264
35 São Paulo;2012;43;79;283;407;1801;3171;2898;3824;2557;1434;574
41 Paraná;2012;0;159;34;246;1177;2012;2758;4197;3092;1437;329
42 Santa Catarina;2012;0;37;0;42;185;481;798;764;537;93;48
43 Rio Grande do Sul;2012;0;0;0;7;63;100;282;604;487;160;66
50 Mato Grosso do Sul;2012;2;46;61;72;340;874;1133;1434;1108;461;107
51 Mato Grosso;2012;19;146;377;433;1776;2828;2973;3266;1735;793;281
52 Goiás;2012;0;99;430;508;2341;4188;4307;4286;3181;1459;382
53 Distrito Federal;2012;0;1;36;111;331;400;326;350;247;56;45
11 Rondônia;2013;2;30;139;194;373;701;713;510;463;247;71
12 Acre;2013;0;2;74;102;159;169;255;127;60;43;6
13 Amazonas;2013;20;118;280;344;591;933;580;487;595;267;70
14 Roraima;2013;0;13;52;62;262;150;319;218;214;34;22
15 Pará;2013;58;633;1442;1231;3668;4408;3855;4023;2919;1452;467
16 Amapá;2013;0;7;16;37;190;170;190;131;92;58;6
17 Tocantins;2013;25;121;418;531;834;2050;1208;1333;1506;966;186
21 Maranhão;2013;44;535;1094;1247;4267;4899;4258;4121;3234;2376;723
22 Piauí;2013;5;99;186;324;972;1525;1460;2283;1299;837;354
23 Ceará;2013;7;94;369;495;1685;2310;3283;2848;2924;2083;841
24 Rio Grande do Norte;2013;0;24;43;17;141;271;212;268;379;97;142
25 Paraíba;2013;18;52;68;228;570;613;786;695;721;517;173
26 Pernambuco;2013;71;372;853;732;2389;3094;3063;3070;2022;1369;400
27 Alagoas;2013;0;80;53;92;290;467;605;363;245;155;24
28 Sergipe;2013;2;25;47;66;395;392;487;329;444;280;97
29 Bahia;2013;43;212;619;702;2240;3069;3290;3403;2286;1406;480
31 Minas Gerais;2013;23;63;124;361;728;1904;2245;2749;2277;1344;322
32 Espírito Santo;2013;8;84;98;158;563;797;741;762;586;262;102
33 Rio de Janeiro;2013;17;163;86;289;1254;2663;1994;2556;2067;931;318
35 São Paulo;2013;2;27;264;431;1898;2878;2998;3751;2629;1376;603
41 Paraná;2013;5;34;104;296;824;2332;3016;3856;2728;2036;412
42 Santa Catarina;2013;0;2;6;7;74;377;530;451;495;135;25
43 Rio Grande do Sul;2013;0;9;0;0;115;142;142;653;263;545;45
50 Mato Grosso do Sul;2013;16;37;40;139;367;954;789;1255;809;470;111
51 Mato Grosso;2013;8;228;454;544;1753;3392;3205;3208;1905;1062;249
52 Goiás;2013;19;239;381;365;2024;3548;3145;3478;2854;1262;308
53 Distrito Federal;2013;5;3;49;78;330;609;766;346;444;168;35
11 Rondônia;2014;4;35;126;226;377;890;732;791;644;145;47
12 Acre;2014;0;26;99;11;419;298;211;214;195;45;0
13 Amazonas;2014;20;59;248;170;514;678;701;732;370;172;53
14 Roraima;2014;0;2;37;59;157;68;214;123;24;81;10
15 Pará;2014;14;809;1226;1681;3812;4538;4564;3967;2782;1541;583
16 Amapá;2014;12;1;46;30;222;129;173;172;161;19;1
17 Tocantins;2014;5;60;464;362;967;2199;1888;1632;1090;776;297
21 Maranhão;2014;36;486;1108;1184;3587;4484;3925;4426;3560;2632;832
22 Piauí;2014;26;99;418;595;1380;1624;1736;1850;1987;1042;471
23 Ceará;2014;19;88;318;491;1270;2183;2718;3292;3276;1519;741
24 Rio Grande do Norte;2014;5;8;38;53;105;369;370;339;342;351;31
25 Paraíba;2014;6;52;86;166;433;625;867;848;654;339;166
26 Pernambuco;2014;41;400;840;868;2053;3150;3008;2725;2013;1367;515
27 Alagoas;2014;1;69;158;99;328;407;380;302;360;223;40
28 Sergipe;2014;1;37;89;70;340;375;532;454;472;351;203
29 Bahia;2014;72;324;522;676;2141;4520;3795;3736;2697;1652;807
31 Minas Gerais;2014;13;34;188;287;822;1763;2374;2299;2277;725;239
32 Espírito Santo;2014;28;42;55;119;354;646;700;835;552;396;30
33 Rio de Janeiro;2014;22;73;147;205;1168;2094;2383;2219;1911;1159;288
